GeneID,SRR11862834,SRR11862839,SRR11862840,SRR11862841,SRR11862842,SRR11862846,SRR11862849,SRR11862850,SRR11862853,SRR11862855
ENSG00000000003.17,15,69,73,344.667,151.027,796.039,14,22,277.08,43
ENSG00000000005.6,0,5,0,1,2,2,0,0,2,0
ENSG00000000419.15,104,703.276,966,1626.565,582.034,4337.23,107,259.912,2443.829,492.481
ENSG00000000457.15,16,126.754,23.002,165.99,145.53,381.005,23,29.97,156.314,72.871
ENSG00000000460.18,11,56,23,353,194,290,10,24,66,74
ENSG00000000938.14,5,28.706,19.022,42.619,139.954,289.849,19.036,24.277,123.632,62.03
ENSG00000000971.18,37.791,435,96,4754.359,66.003,1609,34,41,175.044,39
ENSG00000001036.15,47,117,215,647,446,2723,34,28,1159,108
ENSG00000001084.14,46,408.739,59.144,1078.713,161.478,1740.045,97.146,62.313,1026.095,238.8
ENSG00000001167.16,82,305,466,568,825,1869,131,127,707,663
ENSG00000001460.19,0,183.811,12.983,285.76,58.027,349.504,75.204,6.119,152.57,42.539
ENSG00000001461.20,6,735.968,24.968,1715.357,72.53,2720.28,137.585,25,774.923,129.742
ENSG00000001497.19,70,246,463,206,996,1309,101,138,743,492
ENSG00000001561.8,2,623,2,2396,7,561,100,30,114,21
ENSG00000001617.13,5,7,17,11,58,159,10,30,142,23
ENSG00000001626.19,0,0,0,8,0,4,0,0,0,0
ENSG00000001629.11,292,1969.266,1103.998,2818,1056.544,8637.805,299.311,216,4534.852,558.761
ENSG00000001630.19,246.209,2341.474,839.109,4187.343,805.325,8791.549,348.393,259.8,7902.438,484.954
ENSG00000001631.18,3.002,103.017,14.153,222.574,92.485,171.03,24.23,12.748,360.713,76.938
ENSG00000002016.19,22,111,209,120,219,470,48,33,1136,147
ENSG00000002330.15,427,306,258,162,1415,6400.895,319,517,1245.967,809.917
ENSG00000002549.14,422,571,1444,2890.001,1026,6790.999,139,181,2624,600
ENSG00000002586.21,835,477,6472.999,1636,11256,43693.001,5,36,11042.001,4616.001
ENSG00000002587.11,8,12.021,1.005,0,11.045,164.424,24.001,16,10.448,24.056
ENSG00000002726.22,0,0,0,0,0,0,0,0,0,0.998
ENSG00000002745.13,2,12,0,3,0,16,2,0,3,4
ENSG00000002746.16,4.446,272.014,0,62.049,28.167,38.298,87.947,2.998,23.399,29.627
ENSG00000002822.17,112,99,179,95,264.896,1950.655,76,96,1090,402.662
ENSG00000002834.20,617,627.999,613.904,888.011,1070.786,12004.085,255,720,4013.345,1142
ENSG00000002919.16,24,81,105,135.054,141.876,716.564,34,44,228,95
ENSG00000002933.10,7,13,63,77,189,564,5,5,11,40
ENSG00000003056.9,148.001,352,680.001,1109.999,1256,5005.001,164,318,1492,464
ENSG00000003096.16,8,26,0,1,3,22,0,7,6,13.561
ENSG00000003137.9,2,34,0,9,10,56,5,8,18,28
ENSG00000003147.20,11,475,190,176,80,642,166,28,374,76
ENSG00000003249.16,64,64,24,4,80,2481,192,85,537,415
ENSG00000003393.17,55.52,539.844,114.408,548.847,587.391,1521.49,125.242,101.048,582.349,211.714
ENSG00000003400.17,1,50.468,7.987,179,18,142,9,10,159.241,4.084
ENSG00000003402.22,174.146,511.774,2659.556,1240.848,4883.187,7185.27,190.087,291.417,5129.496,856.047
ENSG00000003436.17,122,115.997,749,1792.892,97.992,3759.998,16,622,2840.999,125.001
ENSG00000003509.17,29,422.364,159.006,347.535,335.003,795.563,82.996,33,646.734,139.002
ENSG00000003756.18,38,556.944,756.001,1020,872,2251,105,93,2698.968,160
ENSG00000003987.15,0,927,0,276,1,231,88,2,0,14
ENSG00000003989.19,3,80,4,59,76,230,22,14,2,5
ENSG00000004059.12,674,673,1110,478,1600,12698,802,897,4153,2354
ENSG00000004139.15,57,50,27,32,121,722.999,48,65,161,261
ENSG00000004142.13,79,195,193,166,181,1822,113,176,620,295
ENSG00000004399.14,66,153,161,356,494,3040,108,170,1440,207
ENSG00000004455.19,276,462.005,1863,1336.424,1847.856,7434.83,173.403,389.028,4152.677,1139.795
ENSG00000004468.14,34,45.212,7,659.419,21,1334.001,13,8,32.028,22.001
ENSG00000004478.9,263,790,2360,403,1844.334,7541.723,690,907,6019.129,1187
ENSG00000004487.19,53,367.728,205.042,290.463,313.797,1380.755,60.776,75.964,640.449,389.025
ENSG00000004534.16,59.011,510.379,2054.741,1056.051,3117.172,2359.1,149.609,219.924,2944.907,994.861
ENSG00000004660.16,9,240.08,7,10,107.001,180.259,337.001,10,15,25
ENSG00000004700.17,22,163,118,761,224,951,27,49,332,40
ENSG00000004766.18,8,207,31,267,80,608,32.691,24,279,19
ENSG00000004776.14,167,33,45,13,208,2906,105,87,8408,284
ENSG00000004777.19,101,236,59,45,220,2207,170,296,1760,821
ENSG00000004779.11,151,1836,561,1818,437,3890,397,324,2276,673
ENSG00000004799.9,130,1188,196,7529,656,8606,481,946,1551,741
ENSG00000004809.15,0,2,0,9,4,2,0,0,1,1
ENSG00000004838.15,4,13,24,8,51,252,15,37,182,138
ENSG00000004846.17,0,13.421,0.803,5.33,17.033,9.897,2.999,0,11.677,3.069
ENSG00000004848.8,20,36,20,2,8,296,32,2,408,123
ENSG00000004864.15,25,142,170,738,154,922,23,50,228,94
ENSG00000004866.23,69,325,139,211,221,1026,50,59,997.999,67
ENSG00000004897.13,243,2556.889,639,2203.126,1190.833,5302.904,417,657,5604.355,554
ENSG00000004939.16,0,0,1.059,6,9.014,7.011,2,2,0,3.024
ENSG00000004948.17,0,2,0,17,0,8,0,0,6,0
ENSG00000004961.16,5,94,87,101,32,247,29,21,176,32
ENSG00000004975.13,37,49,132,22,326,796.152,16,44,505.959,72
ENSG00000005001.11,0,0,0,0,0,0,0,0,0,0
ENSG00000005007.15,78,84,46,69,410,2914,117,178,1161,98
ENSG00000005020.14,8,243,56,1112.002,42,653.021,30,28,417.005,98
ENSG00000005022.7,440,1697.97,781,2932,504.963,10833.998,1027.997,928,6101.997,673.987
ENSG00000005059.17,19,52,264,385,279,1674,3,53,589,54
ENSG00000005073.6,2,0,0,0,0,7,0,0,0,0
ENSG00000005075.17,269.084,149.705,584.383,186.597,730.529,3349.399,88.063,174.615,909.709,412.898
ENSG00000005100.13,81,113,130,93.504,497,1144.549,65.856,123,351,133
ENSG00000005102.15,1,0,0,0,0,0,0,0,0,0
ENSG00000005108.17,100,217,4,161,9,981,82,27,1177,234
ENSG00000005156.13,34,111.888,140,145.157,265.406,941.224,30,75,658.018,224.766
ENSG00000005175.11,20,204,83,435,150,745,27,37,206,60
ENSG00000005187.13,0,0,0,22,1,4,0,0,1.112,0
ENSG00000005189.21,0,19,2,41,19,57,2,12,27,33
ENSG00000005194.16,44,221.975,192,281,209,2509.996,141.61,258,1172.007,298
ENSG00000005206.18,102,102,70,30,569,2347.667,149,219,3688.148,707
ENSG00000005238.21,20,24,29,36,100,375,23,18,233,87
ENSG00000005243.11,5,16,50,60,91,413,4,7,127,7
ENSG00000005249.15,24,998.409,27,282,48.35,472,208,19,32.413,177
ENSG00000005302.19,47,246,249,513,513,1076,106,96,292,270
ENSG00000005339.15,136,339.723,1008.008,351.192,1505.035,1263.515,201.024,133,1715.023,837.179
ENSG00000005379.17,20,742,115,6,716,248,382,63,479,926
ENSG00000005381.9,0,2,0,4,2,22,0,3,3,11
ENSG00000005421.10,0,13.97,0,3,5.863,2,1,0.996,3,4.51
ENSG00000005436.15,8,55.964,71,84.112,52,203,6,14,86,22
ENSG00000005448.18,61,124,272,103,402,965,45,87,604,293
ENSG00000005469.13,26,127,76,196,157,1226,8,45,871,55
ENSG00000005471.20,0,7,8,42,32,45,3,29,47,10
ENSG00000005483.23,101,746.021,644,1371,554,2612,123,165,3525,265.002
ENSG00000005486.18,138,491,147,90,562,2883.001,258,184,1993,369
ENSG00000005513.11,1695.999,84,144,70,30.835,4437.881,285,788.004,344.955,1666.001
ENSG00000005700.16,38,342,152,746,350,1046,80,64,234,114
ENSG00000005801.19,14.001,189.95,14.191,272.689,34.418,329.453,36.98,30.87,272.69,34.421
ENSG00000005810.21,35,971.188,227.002,800.257,234,689.377,178,41,136.973,68.023
ENSG00000005812.12,20,443,87,688,31,667,84,21,177,26
ENSG00000005844.20,14,17.338,15.746,305.204,73.522,195.225,7.231,21.212,32.656,19.019
ENSG00000005882.13,51,427,174,206,270,1942,184,88,668,384
ENSG00000005884.19,32,74.057,191.277,57.7,303.309,726.865,53,165.131,349,159.064
ENSG00000005889.17,153.031,588.67,553.005,1073.663,1063.823,3168.339,146.221,180,1352.441,335.981
ENSG00000005893.18,208.167,3308.938,1451.011,13556.271,939.919,13663.187,812,397,5108.513,676.524
ENSG00000005961.20,3,8,16,1,54,8,5,1,40,15
ENSG00000005981.14,0,38,0,22,1,55,4,0,65,2
ENSG00000006007.13,118,744,159,1378,391,3120,204,168,1033,320
ENSG00000006015.19,41,112.072,31.042,91.322,252.715,884.191,99.829,57.733,264.51,110.681
ENSG00000006016.13,2,45,0,0,5,46,43,19,3,5
ENSG00000006025.14,4,17,25,7,72,144,19,16,196,42
ENSG00000006042.13,67,165,12,967,471.957,1805.026,173,299,32,518
ENSG00000006047.14,0,6.999,0,0,1.417,5,0,1,0,4
ENSG00000006059.4,0,0,0,0,0,0,0,0,0,0
ENSG00000006062.19,14,7,9,4,280,472,11,37,837,72
ENSG00000006071.16,1,60.895,0,5.569,24.9,81.127,22,2.004,13.551,13
ENSG00000006116.5,0,557,3,1,0,33,101,0,0,3
ENSG00000006118.15,262,172,186,30,231.997,3098,251,145,2351.979,268
ENSG00000006125.19,142,3037,1076,2785,680,9138,326,227,3609,536
ENSG00000006128.13,3,742,16,8,0,93,60,1,0,2
ENSG00000006194.12,19,4,34,10,33,396,2,16,94,55
ENSG00000006210.7,7,132.529,50,30,84.59,776.886,75.003,26,117.005,131
ENSG00000006282.23,47,83.001,40.001,30,312,1391,63.001,13,480,80
ENSG00000006283.18,1,3,0,0,0,0,0,0,1,0
ENSG00000006327.15,122,8,129,24,423,4269,1,221,942,102
ENSG00000006377.11,5,31,1,1,5,2,8,0,1,108
ENSG00000006432.17,2,333.347,1,3,26,63.074,182.004,3,280.276,48
ENSG00000006451.9,6,10.188,20,30.771,26,246.777,2,10.311,65.85,20
ENSG00000006453.15,1,18,0,6,39,15.95,8,2,315.961,24.051
ENSG00000006459.12,81,455,1262,703,696,2113,113,89,3321,203
ENSG00000006468.16,74,246,163,267,63,2172,33,206,446.999,331.001
ENSG00000006530.19,0,10.579,1.472,16.271,9.978,4.581,0,1.978,11.535,7.714
ENSG00000006534.18,16,12.067,14.323,41.948,80.164,227.004,9,27,72.356,41.67
ENSG00000006555.12,0,1.006,0,1.025,2.158,0,2,2,0,0
ENSG00000006576.18,23,265,20,360,63,700,46,51,256,38
ENSG00000006606.9,0,0,8,6,4,0,0,1,2,0
ENSG00000006607.15,30,68.244,28,82.274,233.268,354.067,79.023,66,192.183,120.625
ENSG00000006611.18,0,0,0,1,0,6,0,0,0,1
ENSG00000006625.19,97,353,139,314,171,2023,52,165,401,108
ENSG00000006634.9,55,54.003,102,54.001,154.996,685,17,116,339.999,84.854
ENSG00000006638.14,2.007,47.549,9.446,34.545,89.862,123.058,9.213,17.662,359.331,34.756
ENSG00000006652.15,2,5,18,24,20,42,0,1,14,0
ENSG00000006659.13,0,1,0,0,0,1,0,0,0,0
ENSG00000006695.13,113,276.675,295.921,457.294,810.3,2326.022,145,245,1600.398,233.606
ENSG00000006704.12,111.004,175.228,595.926,68.36,919.449,1824.171,70.974,281.819,3855.013,550.093
ENSG00000006712.16,107,235,526,295,827,4471,166,228,2325,616
ENSG00000006715.17,180,1103.993,1263,1397,1460,4084,298,244,1464,658
ENSG00000006740.19,4,1107,11,119,2,295.029,171,8,29,7
ENSG00000006744.20,47,143,105,196,254,1440.055,58,82,717.023,82
ENSG00000006747.16,45,48,22,2083.054,56,935,7,53,20.643,72
ENSG00000006756.17,9,17.037,21.474,55.348,134.299,506.785,14.05,9.069,118.069,74.107
ENSG00000006757.13,1,90,69,59,44,309,14,0,122,2
ENSG00000006788.14,0,0,0,0,0,0,0,0,0,0
ENSG00000006831.11,23,268.381,76,1030.017,165,1373.029,96,46,307.099,97.008
ENSG00000006837.12,0,0,0,0,1,1,0,0,0,1
ENSG00000007001.15,1,10,11,0,9,10,0,0,1,2
ENSG00000007038.12,0,0,0,3,0,2,0,0,0,1
ENSG00000007047.17,118,193.064,305,74,767,2456.007,213,124,988.01,567
ENSG00000007062.13,141,159,178,113,14,1050,17,32,413.847,334
ENSG00000007080.12,459,170,318,70,2178,12188.986,439,575,4444,995
ENSG00000007129.19,0,0,0,11.423,0,6.499,1,2,7.469,1
ENSG00000007168.16,149.363,2137.641,434.822,1855.418,748.793,5129.524,432.099,269.813,2174.192,268.5
ENSG00000007171.20,0,0,2,0,1,1,0,0,1,0
ENSG00000007174.18,4,31.021,11,2,119,31.805,4,0,12,16
ENSG00000007202.17,86,486,681,542,721,3255,101,239,1982,477
ENSG00000007216.17,0,0,0,0,0,0,0,0,0,0
ENSG00000007237.20,1428.001,7713.678,510.113,4102.037,4125.691,28076.149,3958.236,2301,3691.051,1007.001
ENSG00000007255.11,32,23,15,66,235,870,41,52,151,202
ENSG00000007264.16,5,120,4,3,5,143,241,12,11,21
ENSG00000007306.16,0,0,0,0,0,0,0,0,0,0
ENSG00000007312.15,0,1,4,8,3,13,1,3,1,2
ENSG00000007314.12,0,0,0,0,3,48,0,0,0,0
ENSG00000007341.20,3.974,26,9,31.45,41,102.075,4.83,3.742,59.867,36.659
ENSG00000007350.18,1,7,4,4,5,26,0,0,16,14
ENSG00000007372.25,22,120,98,107,247,591,33,8,488,59
ENSG00000007376.9,44,21,1,10,107,507,38,16,53,115
ENSG00000007384.16,48,39,168.999,40,230.999,927,16,90.999,1450.001,80.001
ENSG00000007392.18,289,1286,970,1288,2593,6396,395,800,11880.072,2605
ENSG00000007402.13,1,51,5,3,1,21,62,0,7,91
ENSG00000007516.16,0,110,37,2,71,319,1,11,34,86
ENSG00000007520.5,236,125,165,68,623,4290,133,217,1557,773
ENSG00000007541.18,54,99.007,41,37,219.005,902.008,86,114,472.534,289.007
ENSG00000007545.17,25,75.47,102.955,41.391,339.04,548.648,42.9,94,397.471,175.001
ENSG00000007866.22,14,11,240,22,174,662,12,8,1328,32
ENSG00000007908.16,0,2,4,8,0,29,0,0,9,0
ENSG00000007923.18,70.032,407.43,127.137,313.573,314.405,1598.882,133.993,95,600.147,154.209
ENSG00000007933.14,2,5.418,0,29.082,27.826,3.661,1.017,0,13.045,2.275
ENSG00000007944.16,3.948,51.687,23.91,96.874,93.143,286.848,15.273,10.81,108.774,84.514
ENSG00000007952.19,0,0,0,0,0,0,0,0,0,0
ENSG00000007968.8,11,1.011,6,5.021,0,78.408,0,49,96,81
ENSG00000008018.10,183,4976,1046,3646,1143,7697,324,510,1469,672
ENSG00000008056.15,7,1337,10,11,0,290,378,3,15,78
ENSG00000008083.15,47,155,166,228,399,822,89,202,770,457
ENSG00000008086.13,2,98.128,2.004,15.662,4.505,16.057,11.102,0,7.084,1.03
ENSG00000008118.11,0,319,0,0,3,24,47,0,8,3
ENSG00000008128.24,25.19,159.233,316.293,94.319,559.867,768.244,53.742,40.127,800.024,124.664
ENSG00000008130.16,10,25,10,154,70.101,171,0,10,89.986,19
ENSG00000008196.13,3,0,0,0,0,0,0,0,0,1
ENSG00000008197.5,0,0,0,0,0,0,0,0,0,0
ENSG00000008226.21,2,3,6.055,0,44.142,16.185,3,1.005,4.092,13.887
ENSG00000008256.18,8,132,87,136,57,540,45,23,301,33
ENSG00000008277.16,66,735,35,356,117,854,308,56,815,152
ENSG00000008282.11,70,301,613,2942,946,3949,104,113,1487,163
ENSG00000008283.17,19.001,141.637,40.828,69.035,138.273,571.791,82.822,15.566,110.998,61.013
ENSG00000008294.23,437,3569.385,4635.783,7268.284,4087.78,19042.713,759.695,911.998,10010.831,2004.762
ENSG00000008300.17,8,67,4,1,17,200,41,35,323,168
ENSG00000008311.17,53,85.804,378.828,299.206,438.749,1457.047,21.823,75.434,1095.064,98.566
ENSG00000008323.17,0,0,0,0,10,2,0,0,3,0
ENSG00000008324.13,21,220.447,111,243.423,151.888,499.326,53,68,561.903,137.911
ENSG00000008382.17,12,24,14,6,118,212,21,18,150,75
ENSG00000008394.14,167,1511.497,277.715,7030.742,714.997,3014.719,107.875,60,4820.984,416.862
ENSG00000008405.13,32,70,111.001,120,176,786,18,31,353,56
ENSG00000008438.5,0,4,0,0,9,1,1,0,12,18
ENSG00000008441.19,179,66,127,25,548,4620.673,168,172,3046,476
ENSG00000008513.18,7,27.275,21,78.98,75.226,307.05,21,2.969,52.094,24.09
ENSG00000008516.20,1,9,1,11,27,72,4,19,279,33
ENSG00000008517.20,47,35.065,428,187.04,2860.18,1613.012,36,57,1349.013,166.024
ENSG00000008710.20,71,290.054,406.42,19.914,1106.282,3079.607,399.376,144.514,8919.657,724.449
ENSG00000008735.15,99,1054.159,25,15.119,70.451,2773.941,963.02,30.001,417.468,727.15
ENSG00000008838.22,265,399.221,629,221.714,1253.993,4381,133,456,6713.598,963
ENSG00000008853.19,56,241.866,19,103,46,877,263.998,109,405,284
ENSG00000008869.13,77,477,446,813,653,2524,118,76,1145,214
ENSG00000008952.18,532.512,4198.932,2410.574,5792.37,1748.804,9526.723,860.844,325.001,4401.025,831.176
ENSG00000008988.12,1044,3894.453,4322.393,15530.285,6744.231,25615.913,809.497,1422.216,4962.868,4560.006
ENSG00000009307.18,5,108,21,393.9,11,310,32.893,42,39,28
ENSG00000009335.20,16,204.059,146,215.124,551.086,1290.788,61.999,59,593.035,98.707
ENSG00000009413.17,104,655.88,970.999,655.471,939,1746,126.037,230,1743,147
ENSG00000009694.14,72,464,1175,140,1078,2239,68,26,3873,181
ENSG00000009709.14,0,0,0,0,0,0,0,0,0,0
ENSG00000009724.19,0,0,0,0,17,0,1,0,3,1
ENSG00000009765.16,0,20.276,0,48.935,11.986,13.275,5.012,2.031,75.992,18.913
ENSG00000009780.17,38,194.136,195,292.01,177.189,1315.488,52.657,82,787.562,219.09
ENSG00000009790.16,0,1,0,41,6,51.998,0,0,6,2
ENSG00000009830.14,70,83.021,103,124.695,308.019,1791.403,54.999,56,382.201,104.678
ENSG00000009844.17,23,337,245,671.269,96.01,1328.134,48,34.982,259.521,90.716
ENSG00000009950.17,21,138.309,2,46.31,68.281,177,82,12,37.287,29.714
ENSG00000009954.11,195,166,259,202,765,1417,87,154,761,422
ENSG00000010017.14,42,281,199,282,251,1440,67,111,385,112
ENSG00000010030.14,1,0,3,0,5,9,0,0,14,2
ENSG00000010072.17,10,125,49,248,119,746,40,60,278,104
ENSG00000010165.21,9,23,12,18,148,365,5,15,109,52
ENSG00000010219.14,7,11,2,220,17,128,1,5,58,53
ENSG00000010244.20,172,39.033,27.39,1728.165,6.277,4411.203,5.184,215,2631.18,7.088
ENSG00000010256.13,34,79,91,63,296,996,84,66,309,130
ENSG00000010270.15,197,623,588,1383,337,4540,88,133,2312.001,352
ENSG00000010278.16,284,424.652,1619,3123,1419.003,22386.72,187,451,5983.022,661.004
ENSG00000010282.16,3,160,7,230,1,948,161,4,26,105
ENSG00000010292.14,171,167,233,594,918,3639,105,615,2277,719
ENSG00000010295.21,19,57,31,53,227,1150,88,126,643,126
