ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment,log2err
GO:0006959,humoral immune response,74,0.71534394450006,2.40377774768441,1e-10,3.01428571428571e-08,1.62028268230956e-08,791,"tags=36%, list=8%, signal=34%",8348/8970/133/8342/6223/8344/8343/4057/720/3133/5648/8347/6170/6156/8341/54209/2197/10758/8339/54210/3017/8349/714/8346/718/3958/3105,
GO:0019730,antimicrobial humoral response,42,0.782023523016666,2.32330349198253,7.34097065667654e-09,1.30659687995597e-06,7.02340951728272e-07,791,"tags=48%, list=8%, signal=44%",8348/8970/133/8342/6223/8344/8343/4057/3133/8347/6170/6156/8341/2197/8339/3017/8349/8346/3958/3105,0.761460801445585
GO:0019731,antibacterial humoral response,24,0.866304350935569,2.30974704374282,7.90620738633198e-09,1.33456780681284e-06,7.17376291006011e-07,791,"tags=71%, list=8%, signal=65%",8348/8970/133/8342/8344/8343/4057/3133/8347/6170/8341/2197/8339/3017/8349/8346/3105,0.747739663149885
GO:0061844,antimicrobial humoral immune response mediated by antimicrobial peptide,35,0.788711582673134,2.2788711630433,8.03091944877099e-08,9.96778825700399e-06,5.35803046712157e-06,775,"tags=51%, list=8%, signal=47%",8348/8970/133/8342/6223/8344/8343/4057/8347/6170/6156/8341/2197/8339/3017/8349/8346/3958,0.704975715167238
GO:0099504,synaptic vesicle cycle,124,-0.70891382289767,-2.25106224681785,1e-10,3.01428571428571e-08,1.62028268230956e-08,1722,"tags=53%, list=18%, signal=44%",5071/9829/2580/28964/1609/57030/26052/6453/140730/22999/8224/10947/160/1212/6620/5728/808/9066/26059/6812/84062/27445/9024/4983/63908/23025/10497/8927/9783/537/11069/9498/6623/22930/527/10159/22895/5532/6804/9900/785/8448/5864/8867/1176/112476/9378/6855/84961/93664/200933/84446/56850/535/1759/112755/9699/51382/5530/6861/8541/23167/284697/9899/5534/5413,
GO:0002227,innate immune response in mucosa,16,0.903702411350598,2.23401039636945,1.1335818486463e-07,1.258872474023e-05,6.76687435178653e-06,640,"tags=88%, list=7%, signal=82%",8348/8970/8342/8344/8343/4057/8347/6170/8341/2197/8339/3017/8349/8346,0.704975715167238
GO:0050830,defense response to Gram-positive bacterium,30,0.803792691047903,2.23036729069931,8.9516366246071e-08,1.04933073766228e-05,5.6405151449029e-06,791,"tags=47%, list=8%, signal=43%",8970/133/8344/8343/3133/8347/6170/2197/3148/8339/8349/8346/3592/3105,0.704975715167238
GO:0042742,defense response to bacterium,97,0.631291534733845,2.22530036402179,7.43088272960742e-09,1.30659687995597e-06,7.02340951728272e-07,791,"tags=32%, list=8%, signal=30%",8348/8970/133/8342/6223/8344/8343/4057/57674/3133/8347/6170/6156/8341/54209/1535/2635/2197/3148/8339/54210/3017/8349/2896/358/2150/8346/64332/10616/3592/3105,0.761460801445585
GO:0016079,synaptic vesicle exocytosis,59,-0.777685799806327,-2.21678639815129,5.15213437433434e-10,1.35887544123068e-07,7.30442484070752e-08,1259,"tags=56%, list=13%, signal=49%",808/9066/26059/6812/84062/27445/63908/23025/10497/9783/9498/22930/22895/6804/9900/785/8448/5864/8867/112476/6855/84961/93664/200933/84446/112755/9699/5530/6861/8541/23167/9899/5413,0.801215574617779
GO:0002251,organ or tissue specific immune response,21,0.845974984726592,2.20776689930822,8.79711135879884e-07,7.57628774165941e-05,4.07251633971728e-05,640,"tags=67%, list=7%, signal=62%",8348/8970/8342/8344/8343/4057/8347/6170/8341/2197/8339/3017/8349/8346,0.659444398037935
GO:0002385,mucosal immune response,19,0.860627636208013,2.17184303661398,9.81782882533544e-07,7.96754570056068e-05,4.28283100634593e-05,640,"tags=74%, list=7%, signal=69%",8348/8970/8342/8344/8343/4057/8347/6170/8341/2197/8339/3017/8349/8346,0.643551836150722
