ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment,log2err
HALLMARK_E2F_TARGETS,HALLMARK_E2F_TARGETS,136,0.669778515958676,2.46275332824599,1e-10,5e-09,2.73684210526316e-09,2124,"tags=62%, list=22%, signal=50%",1031/3838/81624/7157/5982/3014/7083/9212/1019/9319/4609/83461/7465/29893/332/10797/10460/3148/10714/10535/51155/10549/3835/4001/5347/6434/4171/9700/5981/6628/84296/3978/6470/8243/5511/9238/6839/23594/9833/10274/4172/6427/4174/10051/147841/5426/7514/11004/9918/27338/29028/8493/64785/3609/84844/4678/4288/5983/5591/10615/9787/1163/4085/672/83463/55646/2146/1786/580/5425/983/10212/23165/10635/10492/10733/993/1164/57122/253714/55148/6241/5902/29127/79077,
HALLMARK_G2M_CHECKPOINT,HALLMARK_G2M_CHECKPOINT,144,0.594590253345704,2.20996337392708,2.88351389693109e-10,7.20878474232772e-09,3.94586112211622e-09,1986,"tags=53%, list=20%, signal=43%",1031/4502/3838/3014/9055/9212/1019/4609/4082/4957/11044/595/10024/332/10460/10926/22809/51155/3835/10403/4001/5347/6434/6421/4171/9700/1841/2176/8451/4751/2130/6599/8243/6760/6839/23594/10274/4926/4172/51203/3151/7090/6427/4174/10051/56992/5426/6491/4691/8899/7514/11004/26271/27338/3609/4678/4288/10772/4928/7040/5119/1163/4085/5933/5371/2146/580/983/10212/4211/10492/8819/10733/6632/993/1164,0.814035837847908
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,117,0.605783502942699,2.16592489263254,2.67857585337185e-09,4.46429308895309e-08,2.44361305921643e-08,1856,"tags=50%, list=19%, signal=41%",4323/7422/7431/871/2201/4313/51330/8038/800/3690/5352/5479/4015/3486/2014/4147/649/3956/3371/2882/822/5376/1809/9235/3915/10979/4017/960/26577/11167/1009/115908/7057/7169/7412/1462/7456/8572/3485/5329/10516/1289/6678/5118/1307/633/2335/4232/3576/7045/7052/6591/290/7040/6303/7171/6535/2247/10272,0.774939030136436
HALLMARK_INTERFERON_GAMMA_RESPONSE,HALLMARK_INTERFERON_GAMMA_RESPONSE,111,0.596624150100094,2.12811963564094,5.400495004505e-08,6.75061875563125e-07,3.69507552939816e-07,2411,"tags=50%, list=25%, signal=38%",196410/4502/9961/7130/54739/4261/84166/57674/7706/219285/10791/9246/10797/6774/3430/64761/3106/10410/10616/7453/3105/51056/3601/3959/4940/84888/7412/834/10135/10581/5721/9021/837/6717/10964/5720/6773/3665/694/5371/567/79132/5777/715/10392/4792/10906/57169/3569/3663/6347/9830/5359/1439/64108,0.719512826338911
HALLMARK_INTERFERON_ALPHA_RESPONSE,HALLMARK_INTERFERON_ALPHA_RESPONSE,54,0.626581759333027,1.96905942941272,4.2933833746166e-05,0.000306670241044043,0.000167861605624108,2411,"tags=56%, list=25%, signal=42%",55281/7706/219285/9246/3430/64761/10410/7453/51056/3107/3959/85363/834/10581/5721/1435/1267/51667/10964/5720/6773/3665/567/79132/10906/7318/9830/5359/54809/64108,0.557332238758646
HALLMARK_HYPOXIA,HALLMARK_HYPOXIA,114,0.541387167963062,1.92234634197895,1.34691569720353e-06,1.34691569720353e-05,7.37259118469301e-06,2260,"tags=53%, list=23%, signal=41%",7422/133/4502/10397/284119/8614/4015/3486/63827/6515/5224/26118/302/771/123/55818/112464/6781/467/9672/3162/25976/2353/665/1316/2027/5329/949/2584/1289/633/3939/2597/25819/4493/7045/4627/1942/7052/1463/205/6383/9590/694/55577/6513/1356/55139/8819/51129/8987/5260/5209/30001/7428/7043/3340/8974/3569/2817,0.643551836150722
HALLMARK_COAGULATION,HALLMARK_COAGULATION,54,0.600439609793564,1.88690662925686,0.000168890244126413,0.00089454898980434,0.000489647868103429,1571,"tags=31%, list=16%, signal=27%",4323/4313/3690/649/301/928/718/11098/7057/9948/5328/341/6678/1848/2335/4485/2783,0.518848077743792
HALLMARK_TNFA_SIGNALING_VIA_NFKB,HALLMARK_TNFA_SIGNALING_VIA_NFKB,117,0.513341661358359,1.83540733176186,9.49752457311026e-06,7.91460381092522e-05,4.33220419124328e-05,1360,"tags=33%, list=14%, signal=29%",7422/182/1846/7050/10611/7130/4609/8837/4082/3371/4814/595/6515/8877/79155/23258/5271/10938/960/2150/1052/24147/10221/3601/9322/5970/467/19/10950/25976/5328/2353/1316/5329/10135/57018/9021/1435/1847,0.593325476396405
HALLMARK_DNA_REPAIR,HALLMARK_DNA_REPAIR,101,0.504649463668052,1.76303381566732,0.000298817388083916,0.0012823617384949,0.000701924320018259,1676,"tags=31%, list=17%, signal=26%",30833/7157/5982/51251/79720/4833/7936/11130/10714/5898/5980/1643/2237/3978/30834/29927/5437/9533/57804/10959/22916/5435/7298/5984/5436/51497/1687/51164/5983/1603/4059,0.49849310876659
HALLMARK_NOTCH_SIGNALING,HALLMARK_NOTCH_SIGNALING,22,0.672933622847561,1.75247625816564,0.00556424159680719,0.0183264061617428,0.0100312960043224,837,"tags=36%, list=9%, signal=33%",3955/182/8324/595/84441/4854/51107/7855,0.407017918923954
HALLMARK_MYC_TARGETS_V2,HALLMARK_MYC_TARGETS_V2,39,0.58402906307061,1.73172848431448,0.00346265360435381,0.0133178984782839,0.00728979706179749,1109,"tags=28%, list=11%, signal=25%",1019/4609/27346/705/7965/11335/23481/6723/5347/9238/4174,0.431707695803346
