ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment,log2err
hsa05322,Systemic lupus erythematosus,70,0.757746368574135,2.51955016847244,1e-10,3.25e-08,1.4138662570892e-08,1630,"tags=64%, list=17%, signal=54%",8348/8970/8342/8344/3014/8359/8365/8334/8335/8343/720/8347/3021/8363/3012/6738/8341/8350/8366/9555/8339/3017/8349/317772/8361/714/8346/718/8329/6628/8968/3113/8331/8969/3013/8336/8332/8345/8368/81/8355/85235/8360/8356/8354,
hsa03082,ATP-dependent chromatin remodeling,86,0.628406891002354,2.19047671442231,2.44117761962099e-07,3.9669136318841e-05,1.72574933197173e-05,1476,"tags=47%, list=15%, signal=40%",86/8099/3014/8334/8335/8110/9274/3012/9219/3065/9555/317772/9112/4798/10467/27443/8329/54107/6599/6605/55257/8331/6760/6598/8969/3013/8336/80314/29117/65980/9031/8332/6603/6602/2186/71/8089/11177/10263/85235,0.674962860011025
hsa04925,Aldosterone synthesis and secretion,46,-0.72483191813178,-2.01684696645145,1.35201850431476e-05,0.000617666116599625,0.000268706855510011,671,"tags=33%, list=7%, signal=30%",814/5332/816/491/6770/801/3708/5138/805/5581/57118/23236/107/490/5567,0.593325476396405
hsa03030,DNA replication,20,0.778771692939299,2.00637831091452,0.000130955427090787,0.00283736758696706,0.00123435639697579,1821,"tags=75%, list=19%, signal=61%",5982/10714/10535/4171/2237/5981/54107/3978/57804/4172/4174/5426/5984/5983/5425,0.518848077743792
hsa04970,Salivary secretion,38,-0.73953722873599,-1.97965694742285,1.52040890239908e-05,0.000617666116599625,0.000268706855510011,1524,"tags=50%, list=16%, signal=42%",115/148/1131/477/808/108/280/2977/5332/153/2983/491/801/3708/805/23236/107/490/5567,0.593325476396405
hsa03010,Ribosome,104,0.553578681516806,1.96267140493948,5.64664913584132e-06,0.000577747428583329,0.000251340798275084,830,"tags=22%, list=9%, signal=20%",100169751/6210/6187/6203/10399/6223/6159/6132/6202/6170/6157/6156/6222/25873/2197/6205/6209/79590/6161/6230/55168/6147/6134,0.610526878385931
hsa04720,Long-term potentiation,39,-0.732605919608503,-1.95546240287956,2.87050994246467e-05,0.000896754573584208,0.0003901203176865,1275,"tags=46%, list=13%, signal=40%",5594/808/2911/5604/814/5532/5595/5332/2891/816/801/3708/805/5530/23236/107/5567/5534,0.575610261071129
hsa04022,cGMP-PKG signaling pathway,82,-0.642006061202575,-1.92740568987652,9.03251538522145e-06,0.000578620108485811,0.000251720445249656,1299,"tags=37%, list=13%, signal=32%",477/5594/808/4209/1386/108/5604/7416/10000/4659/2977/488/5532/5595/5332/153/2983/4985/491/801/3708/7419/5138/805/5581/5530/23236/107/490/5534,0.593325476396405
hsa04115,p53 signaling pathway,47,0.62354933437539,1.9145588004977,0.000192524034809645,0.0030749078607987,0.00133769491324357,1483,"tags=38%, list=15%, signal=33%",7157/1019/3486/3732/595/1017/581/894/10912/8795/10848/1643/55240/7057/891/1021/56475/8493,0.518848077743792
hsa05202,Transcriptional misregulation in cancer,103,0.536527429951469,1.8809208501198,1.79395416101739e-05,0.000647816780367393,0.000281823472780807,2275,"tags=50%, list=23%, signal=38%",1031/6667/7157/3486/4609/2521/5914/3021/26471/8091/581/894/8350/5090/10912/3065/5154/64332/84444/1643/8968/2130/5970/6760/5328/4804/2115/6688/25942/8355/1848/5546/3576/6935/8356/8354/5371/4149/4211/653604/8353/4086/890/51804/9611/8148/1647/3569/8842/5327/51426,0.575610261071129
