ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0097060,synaptic membrane,55/719,250/9144,0.22,2.7978859527121,8.41990964908048,1.10885454134366e-12,5.30032470762269e-10,5.30032470762269e-10,SLITRK5/HTR3B/RIMS2/KCNA2/CADPS2/RPH3A/GRIA2/NECTIN3/OPRD1/GABRB1/SYP/RGS7BP/AKAP5/DGKB/ADCY1/GABRB3/NRXN1/CHRNB2/LRRTM3/STX1B/ITGB3/TMEM240/NPTN/NSG1/CLSTN3/CNTN1/PDE2A/SLITRK3/GLRA3/FAIM2/SLC6A9/ATP2B2/FLRT2/F2R/PRRT2/SNCAIP/CNTNAP2/ERBB4/PRRT1/KCNC4/SYNJ1/CACNG4/ICAM5/CDH8/NRP2/ATP2B1/GNAO1/ABCC8/STX1A/GNB5/GLRB/GRIK3/GRIPAP1/NINJ1/MAGEE1,55
GO:0036477,somatodendritic compartment,81/719,488/9144,0.165983606557377,2.1109236416699,7.36816506485695,4.05777977396784e-11,7.59715697032743e-09,7.59715697032743e-09,SLC1A1/ATP13A2/NRSN1/NCDN/EPHB6/CALB1/KCNA2/HOMER3/NCF1/AMIGO1/CYP46A1/CHL1/RPH3A/GRIA2/APOE/NR1D1/NECTIN3/OPRD1/PPP3CA/DTNB/RTN4/CD200/INPP5F/EPHA6/GABRB1/INPP5A/RGS7BP/SLC6A1/AKAP5/GABRB3/SMO/CNGA3/CYGB/KIFC2/SEZ6L2/SYT5/NRXN1/STAU2/SORL1/KIFAP3/PREX1/NPTN/NSG1/KCNIP2/PAK1/CLSTN3/RACK1/RTN1/CAMK2N1/GLRA3/MAP1A/SPTBN4/ATP2B2/EPHA5/PRRT2/CYBA/SNCAIP/BRINP1/CNTNAP2/PTK2B/KCNC4/CACNG4/MAST1/PLK2/RBM3/ICAM5/HOMER1/INPP5J/GNAO1/NECAB2/GNB5/GLRB/SLC2A3/GRIK3/C4A/KIRREL1/RARA/GRIPAP1/NEURL1/SCN1B/MAGEE1,81
GO:0030425,dendrite,66/719,364/9144,0.181318681318681,2.30594996102646,7.4276908737586,6.35745353165475e-11,7.59715697032743e-09,7.59715697032743e-09,SLC1A1/NCDN/EPHB6/CALB1/KCNA2/HOMER3/NCF1/AMIGO1/CYP46A1/CHL1/RPH3A/GRIA2/APOE/NR1D1/NECTIN3/OPRD1/PPP3CA/DTNB/INPP5F/EPHA6/GABRB1/INPP5A/RGS7BP/AKAP5/GABRB3/SMO/CNGA3/KIFC2/STAU2/KIFAP3/PREX1/NPTN/NSG1/KCNIP2/PAK1/CLSTN3/RACK1/RTN1/CAMK2N1/GLRA3/MAP1A/ATP2B2/EPHA5/PRRT2/CYBA/BRINP1/CNTNAP2/PTK2B/KCNC4/MAST1/PLK2/RBM3/ICAM5/HOMER1/INPP5J/GNAO1/NECAB2/GNB5/GLRB/GRIK3/C4A/KIRREL1/RARA/GRIPAP1/NEURL1/MAGEE1,66
GO:0097447,dendritic tree,66/719,364/9144,0.181318681318681,2.30594996102646,7.4276908737586,6.35745353165475e-11,7.59715697032743e-09,7.59715697032743e-09,SLC1A1/NCDN/EPHB6/CALB1/KCNA2/HOMER3/NCF1/AMIGO1/CYP46A1/CHL1/RPH3A/GRIA2/APOE/NR1D1/NECTIN3/OPRD1/PPP3CA/DTNB/INPP5F/EPHA6/GABRB1/INPP5A/RGS7BP/AKAP5/GABRB3/SMO/CNGA3/KIFC2/STAU2/KIFAP3/PREX1/NPTN/NSG1/KCNIP2/PAK1/CLSTN3/RACK1/RTN1/CAMK2N1/GLRA3/MAP1A/ATP2B2/EPHA5/PRRT2/CYBA/BRINP1/CNTNAP2/PTK2B/KCNC4/MAST1/PLK2/RBM3/ICAM5/HOMER1/INPP5J/GNAO1/NECAB2/GNB5/GLRB/GRIK3/C4A/KIRREL1/RARA/GRIPAP1/NEURL1/MAGEE1,66
GO:0098794,postsynapse,76/719,457/9144,0.166301969365427,2.11497247270857,7.14350223434497,1.5700563986309e-10,1.50097391709114e-08,1.50097391709114e-08,SLITRK5/SLC1A1/HTR3B/NCDN/CALB1/KCNA2/HOMER3/CADPS2/RAB3A/CYP46A1/RPH3A/GRIA2/NR1D1/NECTIN3/OPRD1/PPP3CA/DTNB/RTN4/GABRB1/PLCB1/DLGAP1/EPB41L3/RGS7BP/AKAP5/DGKB/ADCY1/GABRB3/CAMK2B/SPTB/CHRNB2/STAU2/LRRTM3/KIFAP3/ITGB3/TMEM240/NPTN/NSG1/CLSTN3/CNTN1/SLITRK3/RTN1/CAMK2N1/GLRA3/FAIM2/SLC6A9/ATP2B2/PPP3R1/FLRT2/F2R/PRRT2/MYO9B/PDLIM5/ERBB4/PTK2B/BRSK1/PRRT1/KCNC4/CACNG4/ARHGEF9/BCL11A/KALRN/DMTN/ITPR1/ICAM5/CASKIN1/HOMER1/NRP2/GNAO1/NECAB2/STX1A/GNB5/GLRB/GRIK3/GRIPAP1/NEURL1/MAGEE1,76
GO:0045211,postsynaptic membrane,40/719,171/9144,0.233918128654971,2.97489202840202,7.61546503394209,2.09941526085931e-10,1.67253415781792e-08,1.67253415781792e-08,SLITRK5/HTR3B/KCNA2/CADPS2/RPH3A/GRIA2/NECTIN3/OPRD1/GABRB1/RGS7BP/AKAP5/DGKB/ADCY1/GABRB3/CHRNB2/LRRTM3/ITGB3/TMEM240/NSG1/CLSTN3/CNTN1/SLITRK3/GLRA3/FAIM2/SLC6A9/ATP2B2/FLRT2/F2R/PRRT2/ERBB4/PRRT1/KCNC4/CACNG4/NRP2/GNAO1/STX1A/GNB5/GLRB/GRIK3/MAGEE1,40
GO:0030424,axon,66/719,386/9144,0.170984455958549,2.17452276117521,6.88773563431628,8.50766026325558e-10,5.80951657976595e-08,5.80951657976595e-08,SLC1A1/NRSN1/CALB1/KCNA2/AVIL/RAB3A/AMIGO1/ATL1/NECTIN3/OPRD1/CD200/INPP5F/SYP/EPB41L3/RGS7BP/SLC6A1/BASP1/MYCBP2/CNGA3/SYT5/PINK1/NRXN1/FSCN1/STAU2/STX1B/PREX1/NPTN/PAK1/DPYSL3/SCN8A/CNTN1/MAP1A/SPTBN4/SLC2A13/EPHA5/PRRT2/VIM/CDK5R2/TSPOAP1/CNTNAP2/PTK2B/BRSK1/KCNC4/MYC/SYNJ1/CALM1/BOC/MAST1/EMB/BTBD8/KIF3A/HOMER1/CALM2/CDH8/NRP2/INPP5J/CNTNAP1/NECAB2/EXOC6/STX1A/GRIK3/C4A/GRIPAP1/APBB1/SCN1B/KCNAB2,66
GO:0098793,presynapse,66/719,391/9144,0.168797953964194,2.14671556474074,6.77001252459262,1.47752285760546e-09,8.8281990741926e-08,8.8281990741926e-08,SLC1A1/RIMS2/CALB1/KCNA2/CADPS2/RAB3A/CYP46A1/RPH3A/SCAMP5/OPRD1/GABRB1/SYP/SPHK1/MCTP1/PPFIA3/RGS7BP/SLC6A1/ADCY1/DOC2A/SYT5/NRXN1/CHRNB2/STX1B/NPTN/NECAP1/CNTN1/PDE2A/SVOP/CNRIP1/GLRA3/SLC6A9/FLRT2/PRRT2/SNCAIP/PDLIM5/CDK5R2/TSPOAP1/CNTNAP2/ERBB4/PTK2B/BRSK1/PRRT1/KCNC4/SYNJ1/CALM1/SLC9B2/ATP6V0A1/SEPTIN5/ICA1/SV2B/BTBD8/SV2A/GUCY1B1/CALM2/CDH8/ATP2B1/GNAO1/NECAB2/ABCC8/STX1A/GNB5/YWHAH/GRIK3/GRIPAP1/EFR3A/CACNB4,66
GO:0042734,presynaptic membrane,28/719,106/9144,0.264150943396226,3.35938279056341,7.13738332303637,6.45810065209852e-09,3.42996901300344e-07,3.42996901300344e-07,RIMS2/KCNA2/CADPS2/OPRD1/GABRB1/SYP/RGS7BP/NRXN1/CHRNB2/STX1B/NPTN/CNTN1/PDE2A/GLRA3/SLC6A9/FLRT2/PRRT2/SNCAIP/CNTNAP2/ERBB4/KCNC4/ATP2B1/GNAO1/ABCC8/STX1A/GNB5/GRIK3/GRIPAP1,28
GO:0034702,monoatomic ion channel complex,34/719,156/9144,0.217948717948718,2.7717984380015,6.52032032746828,3.27664294270182e-08,1.56623532661147e-06,1.56623532661147e-06,HTR3B/FKBP1B/KCNA2/AMIGO1/GRIA2/GABRB1/CACNB1/KCNH4/GABRB3/CNGA3/CHRNB2/MICU1/KCNIP2/SCN8A/CACNB3/GLRA3/CNTNAP2/PTK2B/KCNC4/PDE4D/CALM1/CACNG4/CALM2/ABCC8/STX1A/GLRB/KCNJ11/GRIK3/CLIC4/ATP5MJ/MICU3/CACNB4/SCN1B/KCNAB2,34
