ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0099106,ion channel regulator activity,23/695,89/9008,0.258426966292135,3.34951095303532,6.44047633439745,1.59424207335123e-07,7.90794132367359e-05,7.69416845509465e-05,FKBP1B/AMIGO1/CACNB1/NRXN1/FGF14/MICU1/KCNIP2/RACK1/CACNB3/FHL1/PDE4D/CALM1/CACNG4/ITPR1/FGF12/CALM2/STX1A/YWHAH/MICU3/CACNB4/SCN1B/KCNAB2/PRKACB,23
GO:0030527,structural constituent of chromatin,17/695,53/9008,0.320754716981132,4.15735034613818,6.66548120112315,2.30888797771492e-07,7.90794132367359e-05,7.69416845509465e-05,H2BC4/H4C11/H2AC8/H2AX/H2BC7/H2AC4/H2BC6/H1-2/H2BC14/H4C8/H2BC11/H2BC15/H4C2/H2BC17/H2AC6/H4C1/H3C1,17
GO:0016247,channel regulator activity,23/695,93/9008,0.247311827956989,3.205445965808,6.18131414602961,3.77512503429071e-07,8.61986882829713e-05,8.38685064938338e-05,FKBP1B/AMIGO1/CACNB1/NRXN1/FGF14/MICU1/KCNIP2/RACK1/CACNB3/FHL1/PDE4D/CALM1/CACNG4/ITPR1/FGF12/CALM2/STX1A/YWHAH/MICU3/CACNB4/SCN1B/KCNAB2/PRKACB,23
GO:0141108,transporter regulator activity,23/695,97/9008,0.237113402061856,3.07326262701179,5.9358177454152,8.45453884159488e-07,0.000144783977662312,0.000140870078334748,FKBP1B/AMIGO1/CACNB1/NRXN1/FGF14/MICU1/KCNIP2/RACK1/CACNB3/FHL1/PDE4D/CALM1/CACNG4/ITPR1/FGF12/CALM2/STX1A/YWHAH/MICU3/CACNB4/SCN1B/KCNAB2/PRKACB,23
GO:0005246,calcium channel regulator activity,13/695,36/9008,0.361111111111111,4.68041566746603,6.39745267903702,1.34115979059349e-06,0.000183738891311308,0.000178771936163633,FKBP1B/CACNB1/NRXN1/MICU1/CACNB3/PDE4D/CALM1/CACNG4/ITPR1/CALM2/STX1A/MICU3/CACNB4,13
GO:0030545,signaling receptor regulator activity,33/695,183/9008,0.180327868852459,2.33725675197547,5.28428923470887,3.26093550636527e-06,0.000372290136976702,0.000362226135833079,LYPD1/LGALS1/FGF17/METRN/APOE/IGFBP5/STC2/NMB/CMTM3/NRXN1/PXDN/HLA-E/FGF14/ADM/SEMA6B/FLRT2/FBN2/LAMC1/PTK2B/PRRT1/PDE4D/SEMA5A/JAG1/IL32/FNDC5/FGF12/ICAM5/SRC/SEMA4A/INHBB/NCR3LG1/EFNA5/VEGFA,33
GO:0022836,gated channel activity,25/695,121/9008,0.206611570247934,2.67792377668113,5.37267928447659,4.28722621367378e-06,0.000419535708052363,0.000408194532377075,HTR3B/PIEZO1/KCNA2/GRIA2/NALF1/TMEM150C/GABRB1/CACNB1/KCNH4/GABRB3/CNGA3/CHRNB2/KCNIP2/CACNB3/GLRA3/TSPOAP1/KCNC4/CACNG4/ITPR1/ABCC8/GLRB/KCNJ11/GRIK3/CACNB4/KCNAB2,25
GO:0005509,calcium ion binding,48/695,342/9008,0.140350877192982,1.81910892338761,4.46528271747416,3.19562000080632e-05,0.00273624962569042,0.00266228145778295,SLIT2/PCP4/S100A10/PPP2R3B/PCDHAC2/CALB1/DGKG/RPH3A/PPP3CA/CELSR3/MCTP1/PLCB1/ANXA7/PPP3CB/DGKB/SYT5/NRXN1/CDH18/MICU1/KCNIP2/CLSTN3/ANXA5/TNFAIP6/PCDHB16/ATP2B2/PPP3R1/FBN2/FKBP10/MATN2/PCDHB7/PCDHGB2/SLC25A23/RASGRP2/CALM1/JAG1/PITPNM3/ITPR1/CALM2/CDH8/PLCB4/NECAB2/NCALD/FKBP9/DLL3/PCDHGC3/ANXA1/MASP1/MICU3,48
GO:0030546,signaling receptor activator activity,28/695,163/9008,0.171779141104294,2.2264554000971,4.56877990255405,4.50418761888515e-05,0.00342818724326259,0.00333551414529409,LGALS1/FGF17/METRN/APOE/IGFBP5/STC2/NMB/CMTM3/HLA-E/FGF14/ADM/SEMA6B/FLRT2/FBN2/LAMC1/PTK2B/SEMA5A/JAG1/IL32/FNDC5/FGF12/ICAM5/SRC/SEMA4A/INHBB/NCR3LG1/EFNA5/VEGFA,28
GO:0022824,transmitter-gated monoatomic ion channel activity,8/695,20/9008,0.4,5.18446043165468,5.4165970003317,6.58411654718193e-05,0.00388768891546928,0.00378259425459788,HTR3B/GRIA2/GABRB1/GABRB3/CHRNB2/GLRA3/GLRB/GRIK3,8
