category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Environmental Information Processing,Signaling molecules and interaction,hsa04082,Neuroactive ligand signaling,20/352,70/4182,0.285714285714286,3.39448051948052,6.12414977828857,5.98224495460482e-07,0.000175878001665382,0.000175878001665382,6505/9177/2891/4985/2560/23236/6529/107/2562/1141/2774/8001/6536/5332/2775/10681/2743/2899/153/5567,20
Human Diseases,Substance dependence,hsa05034,Alcoholism,23/352,100/4182,0.23,2.73255681818182,5.31573122919476,5.48398201310058e-06,0.000806145355925785,0.000806145355925785,8347/8363/3012/3014/8343/8335/8344/53358/8342/8365/8970/8341/801/8366/8348/805/2775/10681/8334/84254/8359/8350/5567,23
Organismal Systems,Nervous system,hsa04724,Glutamatergic synapse,17/352,64/4182,0.265625,3.15580610795455,5.26827628235335,1.2617234681068e-05,0.00123648899874466,0.00123648899874466,6505/23154/9454/2891/5530/23236/9229/5532/107/5534/3708/9456/5332/2775/10681/2899/5567,17
Organismal Systems,Endocrine system,hsa04924,Renin secretion,11/352,32/4182,0.34375,4.083984375,5.30854054075588,3.28870988451262e-05,0.00204782692874315,0.00204782692874315,5530/23236/5532/5534/801/3708/2983/805/5332/153/5567,11
Human Diseases,Immune disease,hsa05322,Systemic lupus erythematosus,17/352,70/4182,0.242857142857143,2.88530844155844,4.82188565763758,4.49589217736545e-05,0.00204782692874315,0.00204782692874315,8347/8363/3012/3014/8343/8335/8344/8342/8365/8970/8341/8366/8348/8334/720/8359/8350,17
Organismal Systems,Endocrine system,hsa04912,GnRH signaling pathway,14/352,51/4182,0.274509803921569,3.26136363636364,4.92538205039706,5.00283894764542e-05,0.00204782692874315,0.00204782692874315,23236/4323/107/816/4313/5601/2185/801/6416/3708/6714/805/5332/5567,14
Organismal Systems,Nervous system,hsa04720,Long-term potentiation,12/352,39/4182,0.307692307692308,3.65559440559441,5.05066554469387,5.07052808777342e-05,0.00204782692874315,0.00204782692874315,2891/5530/23236/5532/107/816/5534/801/3708/805/5332/5567,12
Organismal Systems,Endocrine system,hsa04921,Oxytocin signaling pathway,19/352,85/4182,0.223529411764706,2.65568181818182,4.6748253351837,5.57231817345075e-05,0.00204782692874315,0.00204782692874315,5530/23236/57118/5532/782/107/816/784/5534/801/27092/3708/6714/2983/805/5332/2775/785/5567,19
Organismal Systems,Endocrine system,hsa04925,Aldosterone synthesis and secretion,13/352,46/4182,0.282608695652174,3.35758399209486,4.87380168019517,6.68067869497734e-05,0.00218235504035927,0.00218235504035927,23236/57118/6770/107/816/5138/491/801/3708/805/490/5332/5567,13
Environmental Information Processing,Signal transduction,hsa04020,Calcium signaling pathway,22/352,109/4182,0.201834862385321,2.39793577981651,4.48286120882418,7.67734349856407e-05,0.00225713898857784,0.00225713898857784,8822/5530/8877/23236/57118/5532/107/816/2774/491/5534/2149/2066/2185/801/3708/805/490/5332/153/7422/5567,22
Human Diseases,Infectious disease: viral,hsa05163,Human cytomegalovirus infection,24/352,126/4182,0.19047619047619,2.26298701298701,4.36362290517959,9.63253919683379e-05,0.00257451502169921,0.00257451502169921,6667/5530/1019/23236/5532/107/3133/3690/5534/581/2185/4609/801/1978/3708/6714/7157/805/5332/2775/10681/7422/7132/5567,24
Organismal Systems,Immune system,hsa04613,Neutrophil extracellular trap formation,22/352,112/4182,0.196428571428571,2.33370535714286,4.33694316553425,0.000117525780378759,0.00268795702953787,0.00268795702953787,8347/653361/8363/3012/23236/3014/8343/3690/8335/8344/1535/8342/8365/8970/8341/8366/8348/6714/5332/8334/8359/8350,22
Organismal Systems,Sensory system,hsa04740,Olfactory transduction,8/352,20/4182,0.4,4.75227272727273,5.09882827175871,0.000118855242802695,0.00268795702953787,0.00268795702953787,1261/816/2774/5138/801/805/83988/5567,8
Organismal Systems,Digestive system,hsa04970,Salivary secretion,11/352,38/4182,0.289473684210526,3.43914473684211,4.57858757330169,0.000193141322793939,0.00405596777867271,0.00405596777867271,23236/107/491/801/3708/2983/805/490/5332/153/5567,11
Environmental Information Processing,Signaling molecules and interaction,hsa04517,IgSF CAM signaling,29/352,181/4182,0.160220994475138,1.90353465595178,3.76714082305264,0.000446823866141584,0.00875774777637504,0.00875774777637504,26050/9353/3737/50855/25945/9423/8541/23136/51807/7277/51678/4629/3690/84617/5058/6334/1272/5376/22865/57731/55558/26047/5601/6714/57524/8828/2036/8506/55243,29
Organismal Systems,Nervous system,hsa04728,Dopaminergic synapse,15/352,72/4182,0.208333333333333,2.47514204545455,3.82728856234416,0.00075359933581992,0.013847387795691,0.013847387795691,28227/2891/5530/23236/5532/816/2774/5601/801/3708/805/5332/2775/10681/5567,15
Organismal Systems,Endocrine system,hsa04915,Estrogen signaling pathway,14/352,66/4182,0.212121212121212,2.52014462809917,3.77338590082215,0.000931924030493878,0.0144049555449727,0.0144049555449727,6667/23236/107/3310/53358/4313/801/3708/6714/805/5332/2775/5914/5567,14
Organismal Systems,Circulatory system,hsa04261,Adrenergic signaling in cardiomyocytes,16/352,81/4182,0.197530864197531,2.34680134680135,3.7103356170163,0.000937112302836578,0.0144049555449727,0.0144049555449727,28227/23236/782/107/816/784/491/801/27092/805/490/5332/153/785/6324/5567,16
Human Diseases,Drug resistance: antineoplastic,hsa01522,Endocrine resistance,13/352,59/4182,0.220338983050847,2.61777734976888,3.79358760453367,0.000969298871986462,0.0144049555449727,0.0144049555449727,6667/1019/107/53358/581/4313/5601/1031/182/6714/7157/10683/5567,13
Organismal Systems,Environmental adaptation,hsa04713,Circadian entrainment,12/352,52/4182,0.230769230769231,2.7416958041958,3.83098966286218,0.000979928948637602,0.0144049555449727,0.0144049555449727,2891/23236/107/816/801/3708/2983/805/5332/2775/10681/5567,12
Organismal Systems,Endocrine system,hsa04911,Insulin secretion,10/352,39/4182,0.256410256410256,3.04632867132867,3.8919052139988,0.00108567773911036,0.015199488347545,0.015199488347545,9699/5864/23236/107/816/5332/6833/6804/3767/5567,10
Human Diseases,Substance dependence,hsa05031,Amphetamine addiction,9/352,33/4182,0.272727272727273,3.24018595041322,3.91634867379108,0.00119395487091883,0.0159555787295516,0.0159555787295516,2891/5530/5532/816/5534/801/805/6804/5567,9
Human Diseases,Cardiovascular disease,hsa05417,Lipid and atherosclerosis,19/352,107/4182,0.177570093457944,2.10965378079864,3.52474422822718,0.00126210568633019,0.0161330031209164,0.0161330031209164,653361/5530/23236/5532/816/3310/5534/1535/581/5601/801/6416/3708/6714/7157/805/5332/3654/7132,19
Environmental Information Processing,Signal transduction,hsa04010,MAPK signaling pathway,26/352,167/4182,0.155688622754491,1.84968698965705,3.39692890645847,0.00136286802744999,0.0166951333362624,0.0166951333362624,8822/51701/9261/5530/5532/782/3310/5058/5871/784/5534/5601/2066/10235/4609/27092/1846/6416/7157/10912/1946/7422/3654/785/7132/5567,26
Organismal Systems,Development and regeneration,hsa04360,Axon guidance,21/352,125/4182,0.168,1.99595454545455,3.42692065563095,0.00148673828963419,0.0168115791212482,0.0168115791212482,9353/2051/50855/5530/9423/285220/5532/6608/816/5058/10501/2044/5534/55558/59277/9037/91653/6714/27289/64218/1946,21
Human Diseases,Cancer: overview,hsa05203,Viral carcinogenesis,21/352,125/4182,0.168,1.99595454545455,3.42692065563095,0.00148673828963419,0.0168115791212482,0.0168115791212482,8347/9261/8363/1019/8343/1960/3133/8344/581/8342/8365/8970/8341/8366/8348/6714/7157/7533/1017/8359/5567,21
Organismal Systems,Endocrine system,hsa04927,Cortisol synthesis and secretion,8/352,28/4182,0.285714285714286,3.39448051948052,3.8536219431009,0.00160941261438135,0.0173646873065903,0.0173646873065903,57552/6667/23236/6770/107/3708/5332/5567,8
Organismal Systems,Endocrine system,hsa04922,Glucagon signaling pathway,12/352,55/4182,0.218181818181818,2.59214876033058,3.60296283106508,0.00165377974348479,0.0173646873065903,0.0173646873065903,5836/5530/23236/5532/5224/816/5534/801/3708/805/5332/5567,12
Human Diseases,Infectious disease: bacterial,hsa05152,Tuberculosis,16/352,86/4182,0.186046511627907,2.21035940803383,3.43791892305883,0.0018257314506205,0.0185091395338768,0.0185091395338768,5530/8877/5532/4261/816/5534/581/5601/801/9902/535/6714/805/10312/3654/7132,16
Human Diseases,Infectious disease: viral,hsa05167,Kaposi sarcoma-associated herpesvirus infection,19/352,112/4182,0.169642857142857,2.01547280844156,3.30211454334344,0.00220107495261492,0.0215705345356262,0.0215705345356262,9261/5530/1019/5532/57580/3133/5534/581/5601/4609/801/6416/3708/6714/7157/805/10681/7422/7132,19
Environmental Information Processing,Signal transduction,hsa04022,cGMP-PKG signaling pathway,15/352,82/4182,0.182926829268293,2.17329545454545,3.25262813682464,0.00298738396708595,0.0275271936715635,0.0275271936715635,4985/5530/23236/5532/107/5138/491/5534/801/3708/2983/805/490/5332/153,15
Metabolism,Glycan biosynthesis and metabolism,hsa00532,Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate,5/352,13/4182,0.384615384615385,4.56949300699301,3.90727782479372,0.00299615713431984,0.0275271936715635,0.0275271936715635,337876/113189/50515/79586/92126,5
Human Diseases,Endocrine and metabolic disease,hsa04934,Cushing syndrome,14/352,75/4182,0.186666666666667,2.21772727272727,3.22574729368799,0.00336091233393803,0.0299426735205388,0.0299426735205388,57552/6667/1019/23236/6770/107/816/196/1031/3708/5332/1017/8324/5567,14
Cellular Processes,Cell growth and death,hsa04218,Cellular senescence,18/352,108/4182,0.166666666666667,1.98011363636364,3.12816624607194,0.00348398099218328,0.0301261885794672,0.0301261885794672,9261/5530/1019/5532/3133/5534/4609/801/1978/678/677/3708/7157/805/10912/1017/3486/1875,18
Cellular Processes,Cellular community - eukaryotes,hsa04540,Gap junction,11/352,54/4182,0.203703703703704,2.42013888888889,3.18397672509647,0.00451319526286368,0.0379108402080549,0.0379108402080549,23236/51807/107/7277/84617/3708/6714/2983/5332/153/5567,11
