ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
R-HSA-112316,Neuronal System,53/450,214/5812,0.247663551401869,3.19871235721703,9.49351731078211,4.96305326532366e-15,5.19631676879387e-12,5.19631676879387e-12,SLITRK5/SLC1A1/HTR3B/KCNA2/HOMER3/RAB3A/GRIA2/GABRB1/PPFIA3/PLCB1/DLGAP1/EPB41L3/SLC6A1/AKAP5/CACNB1/TUBA8/KCNH4/ADCY1/GABRB3/TUBA4A/CAMK2B/NRXN1/CHRNB2/LRRTM3/GNAL/TUBB6/NPTN/SLITRK3/CACNB3/GLRA3/KPNA2/PDLIM5/TSPOAP1/ERBB4/KCNC4/CALM1/CACNG4/ARHGEF9/SRC/HOMER1/CALM2/EPB41L1/ABCC8/NCALD/STX1A/GNB5/GLRB/KCNJ11/GRIK3/CAMKK1/CACNB4/KCNAB2/PRKACB,53
R-HSA-112315,Transmission across Chemical Synapses,38/450,145/5812,0.262068965517241,3.3847662835249,8.42406108706769,7.26885940955443e-12,3.80524790090175e-09,3.80524790090175e-09,SLC1A1/HTR3B/RAB3A/GRIA2/GABRB1/PPFIA3/PLCB1/SLC6A1/AKAP5/CACNB1/TUBA8/ADCY1/GABRB3/TUBA4A/CAMK2B/CHRNB2/GNAL/TUBB6/NPTN/CACNB3/GLRA3/KPNA2/TSPOAP1/ERBB4/CALM1/CACNG4/ARHGEF9/SRC/CALM2/EPB41L1/NCALD/STX1A/GNB5/GLRB/GRIK3/CAMKK1/CACNB4/PRKACB,38
R-HSA-112314,Neurotransmitter receptors and postsynaptic signal transmission,29/450,109/5812,0.26605504587156,3.43624872579001,7.43791957240121,1.67266864507548e-09,4.81671090221759e-07,4.81671090221759e-07,HTR3B/GRIA2/GABRB1/PLCB1/AKAP5/TUBA8/ADCY1/GABRB3/TUBA4A/CAMK2B/CHRNB2/GNAL/TUBB6/NPTN/GLRA3/KPNA2/ERBB4/CALM1/CACNG4/ARHGEF9/SRC/CALM2/EPB41L1/NCALD/GNB5/GLRB/GRIK3/CAMKK1/PRKACB,29
R-HSA-912446,Meiotic recombination,20/450,56/5812,0.357142857142857,4.61269841269841,7.86925500453413,2.26516954263666e-09,4.81671090221759e-07,4.81671090221759e-07,H2BC4/H4C11/BLM/CDK4/H2AC8/PSMC3IP/H2AX/H2BC7/H2AC4/H2BC6/H2BC14/H4C8/H2BC11/H2BC15/H4C2/H2BC17/CDK2/H2AC6/H4C1/H3C1,20
R-HSA-5334118,DNA methylation,17/450,41/5812,0.414634146341463,5.35523035230352,8.10673191140397,2.55283083599831e-09,4.81671090221759e-07,4.81671090221759e-07,H2BC4/H4C11/H2AC8/UHRF1/H2AX/H2BC7/H2AC4/H2BC6/H2BC14/H4C8/H2BC11/H2BC15/H4C2/H2BC17/H2AC6/H4C1/H3C1,17
R-HSA-9616222,Transcriptional regulation of granulopoiesis,20/450,57/5812,0.350877192982456,4.5317738791423,7.76204120452158,3.24313989275021e-09,4.81671090221759e-07,4.81671090221759e-07,H2BC4/H4C11/CDK4/H2AC8/H2AX/H2BC7/H2AC4/H2BC6/H2BC14/H4C8/H2BC11/MYC/H2BC15/H4C2/H2BC17/CDK2/H2AC6/RARA/H4C1/H3C1,20
R-HSA-2559586,DNA Damage/Telomere Stress Induced Senescence,19/450,52/5812,0.365384615384615,4.7191452991453,7.80372336324035,3.69281578864255e-09,4.81671090221759e-07,4.81671090221759e-07,H2BC4/H4C11/H2AC8/H2AX/H2BC7/H2AC4/H2BC6/HMGA2/H1-2/H2BC14/H4C8/H2BC11/H2BC15/H4C2/H2BC17/TP53/CDK2/H2AC6/H4C1,19
R-HSA-9821002,Chromatin modifications during the maternal to zygotic transition (MZT),17/450,42/5812,0.404761904761905,5.22772486772487,7.96547621037955,3.98679657895226e-09,4.81671090221759e-07,4.81671090221759e-07,H2BC4/H4C11/H2AC8/UHRF1/H2AX/H2BC7/H2AC4/H2BC6/H2BC14/H4C8/H2BC11/H2BC15/H4C2/H2BC17/H2AC6/H4C1/H3C1,17
R-HSA-977225,Amyloid fiber formation,22/450,69/5812,0.318840579710145,4.11800322061192,7.54744551354121,4.15985928837821e-09,4.81671090221759e-07,4.81671090221759e-07,H2BC4/CALB1/APOE/H4C11/H2AC8/UBE2L6/LTF/H2AX/SORL1/H2BC7/H2AC4/H2BC6/SNCAIP/H2BC14/H4C8/H2BC11/H2BC15/H4C2/H2BC17/H2AC6/H4C1/H3C1,22
R-HSA-5625740,RHO GTPases activate PKNs,20/450,58/5812,0.344827586206897,4.4536398467433,7.65727781663632,4.60048796773409e-09,4.81671090221759e-07,4.81671090221759e-07,H2BC4/H4C11/H2AC8/H2AX/MYH11/H2BC7/H2AC4/PAK1/H2BC6/RHOC/H2BC14/H4C8/H2BC11/H2BC15/H4C2/H2BC17/YWHAH/H2AC6/H4C1/H3C1,20
R-HSA-171306,Packaging Of Telomere Ends,15/450,34/5812,0.441176470588235,5.69803921568628,7.95858056785257,8.05766642032427e-09,7.66943340189047e-07,7.66943340189047e-07,H2BC4/H4C11/H2AC8/H2AX/H2BC7/H2AC4/H2BC6/H2BC14/H4C8/H2BC11/H2BC15/H4C2/H2BC17/H2AC6/H4C1,15
