ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0099106,ion channel regulator activity,21/381,89/9008,0.235955056179775,5.57869592143679,9.12223789511527,7.61065041375357e-11,3.89665301184183e-08,2.84830731358774e-08,STX1A/PRKACB/MICU3/FGF12/CACNB1/KCNIP2/CALM2/FHL1/FGF14/AMIGO1/KCNAB2/PDE4D/YWHAH/NRXN1/SCN1B/CACNB3/FKBP1B/MICU1/CALM1/ITPR1/CACNB4,21
GO:0016247,channel regulator activity,21/381,93/9008,0.225806451612903,5.33875201083736,8.83829104269689,1.84777494855725e-10,4.73030386830657e-08,3.45767484624492e-08,STX1A/PRKACB/MICU3/FGF12/CACNB1/KCNIP2/CALM2/FHL1/FGF14/AMIGO1/KCNAB2/PDE4D/YWHAH/NRXN1/SCN1B/CACNB3/FKBP1B/MICU1/CALM1/ITPR1/CACNB4,21
GO:0141108,transporter regulator activity,21/381,97/9008,0.216494845360825,5.11859728874097,8.57027277240224,4.26898710921536e-10,7.28573799972754e-08,5.32560142420771e-08,STX1A/PRKACB/MICU3/FGF12/CACNB1/KCNIP2/CALM2/FHL1/FGF14/AMIGO1/KCNAB2/PDE4D/YWHAH/NRXN1/SCN1B/CACNB3/FKBP1B/MICU1/CALM1/ITPR1/CACNB4,21
GO:0005246,calcium channel regulator activity,12/381,36/9008,0.333333333333333,7.88101487314086,8.69324230271888,1.37589256776008e-08,1.7611424867329e-06,1.28732915401682e-06,STX1A/MICU3/CACNB1/CALM2/PDE4D/NRXN1/CACNB3/FKBP1B/MICU1/CALM1/ITPR1/CACNB4,12
GO:0022836,gated channel activity,21/381,121/9008,0.173553719008264,4.10333832237912,7.22215641036286,2.84497382932438e-08,2.91325320122817e-06,2.12947890771238e-06,HTR3B/ABCC8/TSPOAP1/KCNA2/GABRB1/KCNH4/CACNB1/GLRA3/KCNIP2/GABRB3/KCNAB2/NALF1/CACNB3/GRIA2/CHRNB2/KCNC4/GLRB/TMEM150C/ITPR1/KCNJ11/CACNB4,21
GO:0044325,transmembrane transporter binding,17/381,91/9008,0.186813186813187,4.4168325113207,6.88426649440581,2.01930068612492e-07,1.72313658549327e-05,1.25954826458905e-05,RIMS2/ABCC8/STX1A/FGF12/KCNIP2/CALM2/FHL1/KCNAB2/PDE4D/YWHAH/SCN1B/FKBP1B/CNTNAP2/CALM1/KCNJ11/SRC/HOMER1,17
GO:0015075,monoatomic ion transmembrane transporter activity,36/381,340/9008,0.105882352941176,2.50338119499768,5.93843204333468,2.97219056268951e-07,2.17394509728147e-05,1.58907239138499e-05,HTR3B/ABCC8/ATP13A2/TSPOAP1/TUSC3/KCNA2/FAIM2/GABRB1/KCNH4/CACNB1/GLRA3/KCNIP2/SLC46A3/SLC2A13/GABRB3/ATP6V0A1/KCNAB2/NALF1/ATP2B2/SLC45A4/NDUFB8/CACNB3/GRIA2/SLC1A1/SCN8A/CHRNB2/KCNC4/SLC9B2/GLRB/TMEM150C/NDUFS1/ITPR1/KCNJ11/SLC6A1/CACNB4/ATP2B1,36
GO:0008324,monoatomic cation transmembrane transporter activity,32/381,293/9008,0.109215017064846,2.58217552157516,5.7859868961602,7.04233935225533e-07,4.04459351294731e-05,2.95644627540806e-05,HTR3B/ABCC8/ATP13A2/TSPOAP1/TUSC3/KCNA2/FAIM2/KCNH4/CACNB1/KCNIP2/SLC46A3/SLC2A13/ATP6V0A1/KCNAB2/NALF1/ATP2B2/SLC45A4/NDUFB8/CACNB3/GRIA2/SLC1A1/SCN8A/CHRNB2/KCNC4/SLC9B2/TMEM150C/NDUFS1/ITPR1/KCNJ11/SLC6A1/CACNB4/ATP2B1,32
GO:0005216,monoatomic ion channel activity,24/381,183/9008,0.131147540983607,3.10072716320296,6.03337763516152,7.1096370344777e-07,4.04459351294731e-05,2.95644627540806e-05,HTR3B/ABCC8/TSPOAP1/KCNA2/FAIM2/GABRB1/KCNH4/CACNB1/GLRA3/KCNIP2/GABRB3/KCNAB2/NALF1/CACNB3/GRIA2/SLC1A1/SCN8A/CHRNB2/KCNC4/GLRB/TMEM150C/ITPR1/KCNJ11/CACNB4,24
GO:0022857,transmembrane transporter activity,44/381,489/9008,0.0899795501022495,2.12739051790305,5.38712643424704,1.38811591781071e-06,7.10715349919081e-05,5.19506284727351e-05,HTR3B/ABCC8/ATP13A2/TSPOAP1/TUSC3/KCNA2/FAIM2/GABRB1/SLC43A2/KCNH4/CACNB1/GLRA3/KCNIP2/FABP3/SLC16A14/SLC46A3/SLC25A23/SLC2A13/GABRB3/ATP6V0A1/KCNAB2/NALF1/ATP2B2/SLC45A4/NDUFB8/CACNB3/GRIA2/SLC1A1/SCN8A/CHRNB2/KCNC4/SVOP/SV2B/SLC9B2/GLRB/SLC25A16/TMEM150C/NDUFS1/ITPR1/KCNJ11/SV2A/SLC6A1/CACNB4/ATP2B1,44
GO:0019855,calcium channel inhibitor activity,6/381,11/9008,0.545454545454545,12.8962061560487,8.29618893982572,2.12383010577559e-06,9.88546376506459e-05,7.22590352660917e-05,STX1A/CALM2/FKBP1B/MICU1/CALM1/ITPR1,6
GO:0015267,channel activity,24/381,199/9008,0.120603015075377,2.85142246666403,5.54998018932584,3.24836818228689e-06,0.000127935731486992,9.35162249643971e-05,HTR3B/ABCC8/TSPOAP1/KCNA2/FAIM2/GABRB1/KCNH4/CACNB1/GLRA3/KCNIP2/GABRB3/KCNAB2/NALF1/CACNB3/GRIA2/SLC1A1/SCN8A/CHRNB2/KCNC4/GLRB/TMEM150C/ITPR1/KCNJ11/CACNB4,24
GO:0022803,passive transmembrane transporter activity,24/381,199/9008,0.120603015075377,2.85142246666403,5.54998018932584,3.24836818228689e-06,0.000127935731486992,9.35162249643971e-05,HTR3B/ABCC8/TSPOAP1/KCNA2/FAIM2/GABRB1/KCNH4/CACNB1/GLRA3/KCNIP2/GABRB3/KCNAB2/NALF1/CACNB3/GRIA2/SLC1A1/SCN8A/CHRNB2/KCNC4/GLRB/TMEM150C/ITPR1/KCNJ11/CACNB4,24
GO:0022843,voltage-gated monoatomic cation channel activity,11/381,49/9008,0.224489795918367,5.30762226150303,6.35372705864128,4.58341968240697e-06,0.000167622205528026,0.000122525550125777,ABCC8/TSPOAP1/KCNA2/KCNH4/CACNB1/KCNIP2/KCNAB2/CACNB3/KCNC4/KCNJ11/CACNB4,11
GO:0005261,monoatomic cation channel activity,19/381,141/9008,0.134751773049645,3.18594218275907,5.49771906049108,6.96792122296779e-06,0.00023479309399025,0.00017162495217305,HTR3B/ABCC8/TSPOAP1/KCNA2/FAIM2/KCNH4/CACNB1/KCNIP2/KCNAB2/NALF1/CACNB3/GRIA2/SCN8A/CHRNB2/KCNC4/TMEM150C/ITPR1/KCNJ11/CACNB4,19
GO:0050811,GABA receptor binding,6/381,13/9008,0.461538461538462,10.9121744397335,7.5155834065754,7.33728418719532e-06,0.00023479309399025,0.00017162495217305,JAKMIP1/GABARAPL1/ERBB4/GABRB1/AKAP5/PLCL2,6
GO:0022824,transmitter-gated monoatomic ion channel activity,7/381,20/9008,0.35,8.2750656167979,6.84452085177288,1.10153239760869e-05,0.000313324770875362,0.000229028664779846,HTR3B/GABRB1/GLRA3/GABRB3/GRIA2/CHRNB2/GLRB,7
GO:0022835,transmitter-gated channel activity,7/381,20/9008,0.35,8.2750656167979,6.84452085177288,1.10153239760869e-05,0.000313324770875362,0.000229028664779846,HTR3B/GABRB1/GLRA3/GABRB3/GRIA2/CHRNB2/GLRB,7
GO:0046873,metal ion transmembrane transporter activity,22/381,188/9008,0.117021276595745,2.76673926397498,5.14445962539947,1.36283967739493e-05,0.000367249428855896,0.000268445568784874,ABCC8/TSPOAP1/TUSC3/KCNA2/FAIM2/KCNH4/CACNB1/KCNIP2/SLC46A3/KCNAB2/NALF1/ATP2B2/CACNB3/SLC1A1/SCN8A/KCNC4/SLC9B2/ITPR1/KCNJ11/SLC6A1/CACNB4/ATP2B1,22
GO:0008200,ion channel inhibitor activity,8/381,29/9008,0.275862068965517,6.52221920535795,6.25923598226772,1.86781249030477e-05,0.000478159997518021,0.000349517037790318,STX1A/PRKACB/CALM2/SCN1B/FKBP1B/MICU1/CALM1/ITPR1,8
GO:0016248,channel inhibitor activity,8/381,30/9008,0.266666666666667,6.30481189851269,6.11594380064786,2.45399687393237e-05,0.00059830780926351,0.000437340585297948,STX1A/PRKACB/CALM2/SCN1B/FKBP1B/MICU1/CALM1/ITPR1,8
GO:0005104,fibroblast growth factor receptor binding,5/381,10/9008,0.5,11.8215223097113,7.1951198909548,2.78707643728297e-05,0.000648628698131309,0.000474123269142984,FGF17/NPTN/NRXN1/FLRT2/FRS3,5
GO:0141110,transporter inhibitor activity,8/381,32/9008,0.25,5.91076115485564,5.84796883103528,4.09405204098265e-05,0.000905767537140471,0.000662082123455001,STX1A/PRKACB/CALM2/SCN1B/FKBP1B/MICU1/CALM1/ITPR1,8
GO:0005230,extracellular ligand-gated monoatomic ion channel activity,7/381,24/9008,0.291666666666667,6.89588801399825,6.07774738860905,4.24578533034596e-05,0.000905767537140471,0.000662082123455001,HTR3B/GABRB1/GLRA3/GABRB3/GRIA2/CHRNB2/GLRB,7
GO:0005509,calcium ion binding,31/381,342/9008,0.0906432748538012,2.14308299181901,4.5290190112717,4.75485049847412e-05,0.000956023912343924,0.000698817650229233,PCP4/PCDHAC2/DGKB/SLIT2/PPP3R1/MICU3/PPP3CA/CELSR3/PPP3CB/KCNIP2/CALM2/SLC25A23/NECAB2/CDH18/MCTP1/ATP2B2/CALB1/NRXN1/CDH8/RPH3A/PLCB1/PLCB4/SYT5/RASGRP2/MICU1/CALM1/NCALD/PITPNM3/ITPR1/CLSTN3/ANXA7,31
GO:0005244,voltage-gated monoatomic ion channel activity,11/381,62/9008,0.17741935483871,4.19473372280078,5.30443014038532,4.87451479530638e-05,0.000956023912343924,0.000698817650229233,ABCC8/TSPOAP1/KCNA2/KCNH4/CACNB1/KCNIP2/KCNAB2/CACNB3/KCNC4/KCNJ11/CACNB4,11
GO:0005516,calmodulin binding,15/381,109/9008,0.137614678899083,3.25362999349852,4.97448275690264,5.04153235025116e-05,0.000956023912343924,0.000698817650229233,PNCK/PCP4/PPP3R1/PPP3CA/PPP3CB/CAMKK1/ADCY1/MYH11/ATP2B2/AKAP5/CAMK1D/BASP1/PLCB1/CAMK2B/ATP2B1,15
GO:0030594,neurotransmitter receptor activity,7/381,25/9008,0.28,6.62005249343832,5.91319698440514,5.6844793835149e-05,0.0010037788890456,0.000733724748445636,HTR3B/GABRB1/GLRA3/GABRB3/GRIA2/CHRNB2/GLRB,7
GO:0022832,voltage-gated channel activity,11/381,63/9008,0.174603174603175,4.12815064783569,5.23588901729592,5.68546636373486e-05,0.0010037788890456,0.000733724748445636,ABCC8/TSPOAP1/KCNA2/KCNH4/CACNB1/KCNIP2/KCNAB2/CACNB3/KCNC4/KCNJ11/CACNB4,11
GO:0035254,glutamate receptor binding,7/381,29/9008,0.241379310344828,5.70694180468821,5.33514850003765,0.000159409397111395,0.00272058704403448,0.00198864716751177,PTK2B/GRIPAP1/NECAB2/NSG1/AKAP5/SRC/HOMER1,7
GO:0019829,ATPase-coupled monoatomic cation transmembrane transporter activity,6/381,22/9008,0.272727272727273,6.44810307802434,5.37645628892635,0.000230589325211079,0.0038084430486475,0.00278382913641,ABCC8/ATP13A2/ATP6V0A1/ATP2B2/KCNJ11/ATP2B1,6
GO:0005249,voltage-gated potassium channel activity,7/381,31/9008,0.225806451612903,5.33875201083736,5.08513787368331,0.000249628236450372,0.00399405178320596,0.00291950216516109,ABCC8/KCNA2/KCNH4/KCNIP2/KCNAB2/KCNC4/KCNJ11,7
GO:0015276,ligand-gated monoatomic ion channel activity,10/381,69/9008,0.144927536231884,3.42652820571342,4.25194943134726,0.000593792645353152,0.00921278286123678,0.00673419899652633,HTR3B/ABCC8/GABRB1/GLRA3/GABRB3/GRIA2/CHRNB2/GLRB/ITPR1/KCNJ11,10
GO:0022834,ligand-gated channel activity,10/381,70/9008,0.142857142857143,3.37757780277465,4.19649057959065,0.000667230013135143,0.0100476990213292,0.00734449141871452,HTR3B/ABCC8/GABRB1/GLRA3/GABRB3/GRIA2/CHRNB2/GLRB/ITPR1/KCNJ11,10
GO:1904315,transmitter-gated monoatomic ion channel activity involved in regulation of postsynaptic membrane potential,5/381,18/9008,0.277777777777778,6.56751239428405,4.96867132565109,0.000715460229577022,0.0104661610726696,0.00765037149519799,GABRB1/GABRB3/GRIA2/CHRNB2/GLRB,5
GO:0004683,calcium/calmodulin-dependent protein kinase activity,5/381,20/9008,0.25,5.91076115485564,4.62013800190023,0.00120725321632834,0.0171698235211141,0.0125504975063418,PNCK/PTK2B/CAMKK1/CAMK1D/CAMK2B,5
