category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Environmental Information Processing,Signaling molecules and interaction,hsa04082,Neuroactive ligand signaling,18/169,70/4182,0.257142857142857,6.36314454775993,9.28519065157344,1.2556867773846e-10,2.88807958798457e-08,2.39871622013406e-08,9177/5567/153/10681/2560/2775/8001/2562/107/2891/6505/1141/23236/5332/2743/2774/6529/4985,18
Organismal Systems,Endocrine system,hsa04921,Oxytocin signaling pathway,18/169,85/4182,0.211764705882353,5.24023668639053,8.10429864178823,3.85155717182984e-09,4.42929074760432e-07,3.67878073865081e-07,5534/5567/5530/782/2775/5532/805/107/57118/784/23236/5332/816/801/3708/6714/2983/785,18
Organismal Systems,Endocrine system,hsa04925,Aldosterone synthesis and secretion,13/169,46/4182,0.282608695652174,6.9933110367893,8.38695521604469,1.54028501428926e-08,8.03431387511285e-07,6.67295980694571e-07,5567/805/107/6770/491/57118/23236/5332/816/801/3708/5138/490,13
Organismal Systems,Nervous system,hsa04724,Glutamatergic synapse,15/169,64/4182,0.234375,5.79974112426035,7.93987172753304,1.9126187791704e-08,8.03431387511285e-07,6.67295980694571e-07,23154/5534/5567/10681/5530/2775/5532/107/2891/6505/23236/5332/3708/9456/9229,15
Organismal Systems,Nervous system,hsa04720,Long-term potentiation,12/169,39/4182,0.307692307692308,7.6140191169777,8.5150879676755,1.94450208264838e-08,8.03431387511285e-07,6.67295980694571e-07,5534/5567/5530/5532/805/107/2891/23236/5332/816/801/3708,12
Organismal Systems,Endocrine system,hsa04924,Renin secretion,11/169,32/4182,0.34375,8.50628698224852,8.74631191851461,2.09590796742074e-08,8.03431387511285e-07,6.67295980694571e-07,5534/5567/153/5530/5532/805/23236/5332/801/3708/2983,11
Environmental Information Processing,Signal transduction,hsa04020,Calcium signaling pathway,19/169,109/4182,0.174311926605505,4.31344660984746,7.19258291814876,4.14996422230441e-08,1.36355967304288e-06,1.13251474040269e-06,2185/5534/5567/153/2066/5530/5532/8822/805/107/491/57118/23236/5332/816/801/2774/3708/490,19
Organismal Systems,Digestive system,hsa04970,Salivary secretion,11/169,38/4182,0.289473684210526,7.16318903768296,7.83134343320219,1.58159757856962e-07,4.54709303838765e-06,3.77662231713311e-06,5567/153/805/107/491/23236/5332/801/3708/2983/490,11
Organismal Systems,Endocrine system,hsa04912,GnRH signaling pathway,12/169,51/4182,0.235294117647059,5.82248520710059,7.11012524498158,5.16407882447266e-07,1.31970903292079e-05,1.09609426149286e-05,6416/2185/5567/5601/805/107/23236/5332/816/801/3708/6714,12
Environmental Information Processing,Signal transduction,hsa04022,cGMP-PKG signaling pathway,15/169,82/4182,0.182926829268293,4.52662721893491,6.6179488955721,6.31965543665725e-07,1.33981346336046e-05,1.11279214737967e-05,5534/153/5530/5532/805/107/491/23236/5332/801/3708/2983/4985/5138/490,15
Organismal Systems,Environmental adaptation,hsa04713,Circadian entrainment,12/169,52/4182,0.230769230769231,5.71051433773327,7.01364584321967,6.48012969445543e-07,1.33981346336046e-05,1.11279214737967e-05,5567/10681/2775/805/107/2891/23236/5332/816/801/3708/2983,12
Organismal Systems,Nervous system,hsa04728,Dopaminergic synapse,14/169,72/4182,0.194444444444444,4.81163708086785,6.69430872000999,6.99033111318501e-07,1.33981346336046e-05,1.11279214737967e-05,5567/10681/5530/2775/5601/5532/805/2891/23236/5332/816/801/2774/3708,14
Organismal Systems,Endocrine system,hsa04911,Insulin secretion,10/169,39/4182,0.256410256410256,6.34501593081475,6.88133493939945,2.04942605884864e-06,3.62590764257836e-05,3.01152485933752e-05,9699/6833/6804/5567/107/23236/5332/816/3767/5864,10
Environmental Information Processing,Signaling molecules and interaction,hsa04517,IgSF CAM signaling,22/169,181/4182,0.121546961325967,3.007747883226,5.66647588231718,2.41899597412408e-06,3.97406481463241e-05,3.30068941672592e-05,26050/3737/9353/23136/51807/1272/5601/8506/25945/7277/4629/6334/8541/57731/51678/26047/5058/22865/57524/50855/6714/2036,22
Organismal Systems,Circulatory system,hsa04261,Adrenergic signaling in cardiomyocytes,14/169,81/4182,0.17283950617284,4.2770107385492,6.11116972554451,3.10120447017273e-06,4.75518018759818e-05,3.94945066372348e-05,5567/153/782/805/107/491/6324/784/23236/5332/816/801/785/490,14
Human Diseases,Substance dependence,hsa05031,Amphetamine addiction,9/169,33/4182,0.272727272727273,6.7487896718666,6.80315754579139,3.88187975006619e-06,5.58020214072016e-05,4.63467885104688e-05,6804/5534/5567/5530/5532/805/2891/816/801,9
Organismal Systems,Sensory system,hsa04740,Olfactory transduction,7/169,20/4182,0.35,8.66094674556213,7.04685376994752,7.72423189161186e-06,0.00010450431382769,8.67968437211224e-05,5567/805/816/801/83988/2774/5138,7
Organismal Systems,Nervous system,hsa04723,Retrograde endocannabinoid signaling,13/169,83/4182,0.156626506024096,3.8758109360519,5.43011808693414,2.16170829783189e-05,0.000272389980869775,0.000226235546981688,5567/10681/2560/2775/5601/2562/107/4714/2891/23236/5332/4719/3708,13
Organismal Systems,Sensory system,hsa04750,Inflammatory mediator regulation of TRP channels,10/169,50/4182,0.2,4.9491124260355,5.76438792366843,2.25017810283728e-05,0.000272389980869775,0.000226235546981688,5567/5601/805/107/23236/5332/816/801/3708/6714,10
Organismal Systems,Development and regeneration,hsa04360,Axon guidance,16/169,125/4182,0.128,3.16743195266272,5.04831947080244,3.31362893624203e-05,0.000381067327667833,0.000316498334617521,9353/5534/2051/1946/5530/64218/5532/2044/27289/10501/285220/816/59277/5058/50855/6714,16
Organismal Systems,Nervous system,hsa04726,Serotonergic synapse,9/169,43/4182,0.209302325581395,5.17930370166506,5.65248348862324,4.00237339662434e-05,0.000438355181535047,0.0003640791924511,9177/5567/10681/2560/2775/2562/23236/5332/3708,9
Cellular Processes,Cellular community - eukaryotes,hsa04540,Gap junction,10/169,54/4182,0.185185185185185,4.58251150558843,5.43705198812389,4.55574825020563e-05,0.000476282771612406,0.000395580237605,5567/153/51807/7277/107/23236/5332/3708/6714/2983,10
Organismal Systems,Endocrine system,hsa04922,Glucagon signaling pathway,10/169,55/4182,0.181818181818182,4.49919311457773,5.36019855892141,5.37625471090379e-05,0.000537625471090379,0.000446528877952999,5534/5567/5530/5532/805/23236/5332/816/801/3708,10
Organismal Systems,Nervous system,hsa04727,GABAergic synapse,9/169,47/4182,0.191489361702128,4.73851189726804,5.28882010759089,8.41179027892955e-05,0.000793073128698655,0.000658692850943725,5567/10681/23710/2560/2775/2562/107/6529/6714,9
Organismal Systems,Immune system,hsa04625,C-type lectin receptor signaling pathway,10/169,58/4182,0.172413793103448,4.26647622934095,5.14023561998116,8.63375457518941e-05,0.000793073128698655,0.000658692850943725,5534/5530/5601/5532/805/1960/801/5058/3708/6714,10
Organismal Systems,Endocrine system,hsa04927,Cortisol synthesis and secretion,7/169,28/4182,0.25,6.18639053254438,5.65014823057469,8.96517449833262e-05,0.000793073128698655,0.000658692850943725,57552/5567/107/6770/23236/5332/3708,7
Organismal Systems,Digestive system,hsa04971,Gastric acid secretion,8/169,39/4182,0.205128205128205,5.0760127446518,5.2475819111234,0.000126790665394793,0.00108006863114083,0.000897059123700766,5567/805/107/23236/5332/816/801/3708,8
Human Diseases,Substance dependence,hsa05032,Morphine addiction,9/169,50/4182,0.18,4.45420118343195,5.04198246077418,0.000139309409848006,0.00114432729518005,0.000950429640343133,5567/10681/2560/2775/2562/107/5144/5138/27115,9
Organismal Systems,Endocrine system,hsa04915,Estrogen signaling pathway,10/169,66/4182,0.151515151515152,3.74932759548144,4.6196559452222,0.00026379673978836,0.00209218103970079,0.00173767669570678,5567/2775/805/107/53358/23236/5332/801/3708/6714,10
Environmental Information Processing,Signal transduction,hsa04070,Phosphatidylinositol signaling system,10/169,67/4182,0.149253731343284,3.69336748211605,4.56033713512243,0.000299415101764124,0.00221097564926111,0.00183634245201154,1607/805/8395/3632/23236/5332/801/8867/22876/3708,10
Organismal Systems,Endocrine system,hsa04916,Melanogenesis,8/169,44/4182,0.181818181818182,4.49919311457773,4.78793077244684,0.000307285427983193,0.00221097564926111,0.00183634245201154,5567/2775/805/107/23236/5332/816/801,8
Environmental Information Processing,Signal transduction,hsa04024,cAMP signaling pathway,12/169,93/4182,0.129032258064516,3.19297575873258,4.38849498305114,0.000307614003375459,0.00221097564926111,0.00183634245201154,5567/153/5601/805/107/491/5144/2891/816/801/5058/490,12
Organismal Systems,Nervous system,hsa04725,Cholinergic synapse,9/169,56/4182,0.160714285714286,3.97696534234996,4.60205745682197,0.000341843317101829,0.00238254433131578,0.00197884011108705,5567/10681/2775/107/1141/23236/5332/816/3708,9
Organismal Systems,Endocrine system,hsa04926,Relaxin signaling pathway,10/169,69/4182,0.144927536231884,3.58631335219964,4.44503503908235,0.000382798090159365,0.00258951649225453,0.00215074239578358,6416/5567/10681/2775/5601/107/53358/23236/5332/6714,10
Human Diseases,Infectious disease: viral,hsa05163,Human cytomegalovirus infection,14/169,126/4182,0.111111111111111,2.74950690335306,4.09167203719755,0.00047658727422042,0.00313185923059133,0.00260118923552191,2185/5534/5567/10681/5530/2775/5532/805/107/23236/5332/801/3708/6714,14
Human Diseases,Substance dependence,hsa05033,Nicotine addiction,4/169,11/4182,0.363636363636364,8.99838622915546,5.45038870027258,0.000679789802052372,0.00434310151311238,0.00360719562180123,2560/2562/2891/1141,4
Organismal Systems,Excretory system,hsa04961,Endocrine and other factor-regulated calcium reabsorption,6/169,28/4182,0.214285714285714,5.30262045646661,4.68735302642412,0.000715192816463334,0.00444579318342072,0.0036924869608163,5567/491/793/23236/5332/490,6
Cellular Processes,Cell growth and death,hsa04114,Oocyte meiosis,10/169,75/4182,0.133333333333333,3.29940828402367,4.12318886284175,0.000756658978274691,0.00457977802639945,0.00380376907971714,5534/5567/5530/5532/805/107/7533/816/801/3708,10
Organismal Systems,Circulatory system,hsa04270,Vascular smooth muscle contraction,9/169,63/4182,0.142857142857143,3.53508030431107,4.16020715020062,0.000837349485721934,0.00493821491579602,0.00410147153364776,5567/805/107/4629/23236/5332/801/3708/2983,9
Environmental Information Processing,Signal transduction,hsa04010,MAPK signaling pathway,16/169,167/4182,0.0958083832335329,2.37083229989725,3.70978418798544,0.000999455518795707,0.00574686923307531,0.00477310545793754,6416/51701/5534/5567/1946/2066/5530/782/5601/5532/8822/784/10235/5058/785/5871,16
Human Diseases,Cardiovascular disease,hsa05417,Lipid and atherosclerosis,12/169,107/4182,0.11214953271028,2.77520322955262,3.81702511797561,0.00111806814714773,0.0062720896059507,0.00520933118828185,6416/5534/5530/5601/5532/805/23236/5332/816/801/3708/6714,12
Organismal Systems,Nervous system,hsa04730,Long-term depression,6/169,34/4182,0.176470588235294,4.36686390532544,4.04477625431348,0.00208775967234344,0.0114329696342617,0.00949573890556863,2775/2891/23236/5332/3708/2983,6
Environmental Information Processing,Signaling molecules and interaction,hsa04081,Hormone signaling,9/169,73/4182,0.123287671232877,3.05082272837805,3.62719026795417,0.00242863911105763,0.012990395245192,0.0107892704585539,5567/153/10681/2775/107/23236/5332/6714/4985,9
Organismal Systems,Digestive system,hsa04972,Pancreatic secretion,6/169,36/4182,0.166666666666667,4.12426035502959,3.863070870613,0.00282800781570286,0.0147827681275377,0.0122779392346146,107/491/23236/5332/3708/490,6
Human Diseases,Neurodegenerative disease,hsa05012,Parkinson disease,14/169,153/4182,0.0915032679738562,2.26429980276134,3.269234008934,0.00318807141139243,0.0162945872137835,0.0135335919455626,5567/51807/5601/805/7277/65018/5413/4714/1345/816/801/2774/4719/3708,14
Organismal Systems,Nervous system,hsa04721,Synaptic vesicle cycle,6/169,37/4182,0.162162162162162,4.01279385894771,3.77708595572142,0.00326445271065901,0.0163222635532951,0.0135565787374697,6804/535/6505/112755/5864/6529,6
Environmental Information Processing,Signal transduction,hsa04014,Ras signaling pathway,12/169,122/4182,0.0983606557377049,2.43398971772238,3.29846433087032,0.00345636408787339,0.0169141221321464,0.0140481513309061,5567/1946/10681/9771/5601/8822/805/8036/53358/10235/801/5058,12
Environmental Information Processing,Signal transduction,hsa04012,ErbB signaling pathway,7/169,50/4182,0.14,3.46437869822485,3.59717153498566,0.00357296450465641,0.0171204549181453,0.0142195225779382,6416/2066/5601/53358/816/5058/6714,7
Environmental Information Processing,Signal transduction,hsa04310,Wnt signaling pathway,10/169,93/4182,0.10752688172043,2.66081313227715,3.32355251523439,0.0039386085350072,0.0184873461847277,0.0153548043984087,51701/5534/5567/5530/1951/5601/5532/23236/5332/816,10
Organismal Systems,Immune system,hsa04062,Chemokine signaling pathway,10/169,95/4182,0.105263157894737,2.6047960137029,3.24659545920646,0.00459523393967083,0.0211380761224858,0.0175563880816799,2185/5567/10681/107/53358/23236/5332/10235/5058/6714,10
Organismal Systems,Endocrine system,hsa04935,"Growth hormone synthesis, secretion and action",8/169,67/4182,0.119402985074627,2.95469398569284,3.30963510547479,0.00512886789610749,0.023130188551073,0.0192109520399112,6416/5567/5601/107/53358/23236/5332/3708,8
Environmental Information Processing,Signaling molecules and interaction,hsa04080,Neuroactive ligand-receptor interaction,9/169,82/4182,0.109756097560976,2.71597633136095,3.22014291898642,0.00537181234763456,0.0235654301558662,0.0195724452277853,153/4142/2560/8001/2562/2891/1141/2743/4985,9
Environmental Information Processing,Signal transduction,hsa04015,Rap1 signaling pathway,12/169,129/4182,0.0930232558139535,2.30191275629558,3.08203305173917,0.00544936659534426,0.0235654301558662,0.0195724452277853,1946/9771/2775/8822/805/107/23236/5332/10235/801/50855/6714,12
Metabolism,Carbohydrate metabolism,hsa00562,Inositol phosphate metabolism,7/169,54/4182,0.12962962962963,3.2077580539119,3.35063691982383,0.00553275316702946,0.0235654301558662,0.0195724452277853,27124/8395/3632/23236/5332/8867/22876,7
Human Diseases,Infectious disease: bacterial,hsa05152,Tuberculosis,9/169,86/4182,0.104651162790698,2.58965185083253,3.05646993275456,0.00734374122492629,0.0301780002668703,0.0250645650599497,5534/5530/5601/5532/805/535/816/801/6714,9
Organismal Systems,Endocrine system,hsa04918,Thyroid hormone synthesis,5/169,31/4182,0.161290322580645,3.99121969841573,3.43005946011267,0.00734768702149887,0.0301780002668703,0.0250645650599497,5567/107/23236/5332/3708,5
Human Diseases,Infectious disease: viral,hsa05170,Human immunodeficiency virus 1 infection,11/169,118/4182,0.0932203389830508,2.30678969010129,2.95473617768204,0.00757521940094994,0.0305666747757629,0.0253873815961394,2185/5534/10681/5530/2775/5601/5532/805/801/5058/3708,11
Organismal Systems,Immune system,hsa04611,Platelet activation,8/169,73/4182,0.10958904109589,2.71184242522493,3.02765231686195,0.00861118984906187,0.0341478218152453,0.0283617301999762,5567/107/23236/5332/10235/3708/6714/2983,8
Human Diseases,Infectious disease: parasitic,hsa05142,Chagas disease,7/169,60/4182,0.116666666666667,2.88698224852071,3.02091358577447,0.00985334153443236,0.0384113314054143,0.0319028201516462,6416/2775/5601/107/23236/5332/2774,7
Human Diseases,Endocrine and metabolic disease,hsa04934,Cushing syndrome,8/169,75/4182,0.106666666666667,2.63952662721894,2.93992066422077,0.0100953234811794,0.0386987400111876,0.0321415295304815,57552/5567/107/6770/23236/5332/816/3708,8
Human Diseases,Neurodegenerative disease,hsa05022,Pathways of neurodegeneration - multiple diseases,19/169,267/4182,0.0711610486891386,1.76092015158567,2.6368030323019,0.0104436600736249,0.0393777347038315,0.0327054736784911,6804/5534/51807/5530/5601/5532/805/7277/65018/5413/4714/2891/1345/23236/5332/816/801/4719/3708,19
Environmental Information Processing,Signaling molecules and interaction,hsa04514,Cell adhesion molecule (CAM) interaction,8/169,76/4182,0.105263157894737,2.6047960137029,2.89711688127692,0.0109050401515519,0.04045418120737,0.0335995244168733,26050/5797/1272/8506/25945/9378/26047/22865,8
Human Diseases,Neurodegenerative disease,hsa05010,Alzheimer disease,16/169,215/4182,0.0744186046511628,1.84153020503647,2.59960099580122,0.0123340930423523,0.045029228567318,0.0373993644059946,57142/5534/51807/5530/5601/5532/805/322/7277/4714/1345/23236/5332/801/4719/3708,16
Environmental Information Processing,Signal transduction,hsa04371,Apelin signaling pathway,8/169,79/4182,0.10126582278481,2.50587970938506,2.7726938869214,0.013623410707815,0.04895913223121,0.0406633754468817,5567/10681/805/107/23236/5332/801/3708,8
