ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0000786,nucleosome,17/326,62/9144,0.274193548387097,7.69087670690679,10.1638029317761,2.76380268293072e-11,1.03089840073316e-08,1.03089840073316e-08,H2AC8/H2BC11/H4C11/H4C1/H4C8/H3C1/H2BC14/H2BC6/H1-2/H2AX/H2BC7/H2BC17/H2AC4/H2BC4/H2BC15/H2AC6/H4C2,17
GO:0032993,protein-DNA complex,20/326,124/9144,0.161290322580645,4.52404512170988,7.59656305340351,1.26907378935621e-08,2.36682261714933e-06,2.36682261714933e-06,H2AC8/H2BC11/H4C11/H4C1/H4C8/H3C1/H2BC14/H2BC6/H1-2/H2AX/H2BC7/HMGA2/NUPR1/H2BC17/H2AC4/H2BC4/H2BC15/H2AC6/H4C2/SP1,20
GO:0030312,external encapsulating structure,22/326,209/9144,0.105263157894737,2.95253471101066,5.49025783715636,4.99826054612133e-06,0.000466087795925814,0.000466087795925814,LGALS1/MMP2/MATN2/MMP19/FBN2/LOX/PXDN/LAMC1/PLOD2/MMP14/TGFB1I1/TNC/FREM2/S100A10/ANXA5/NTN1/APOE/ANXA1/SERPINH1/VEGFA/BCAN/CCDC80,22
GO:0031012,extracellular matrix,22/326,209/9144,0.105263157894737,2.95253471101066,5.49025783715636,4.99826054612133e-06,0.000466087795925814,0.000466087795925814,LGALS1/MMP2/MATN2/MMP19/FBN2/LOX/PXDN/LAMC1/PLOD2/MMP14/TGFB1I1/TNC/FREM2/S100A10/ANXA5/NTN1/APOE/ANXA1/SERPINH1/VEGFA/BCAN/CCDC80,22
GO:0032432,actin filament bundle,10/326,63/9144,0.158730158730159,4.45223488168273,5.2865444230472,6.87386726188537e-05,0.00512790497736649,0.00512790497736649,CALD1/CYBA/AFAP1L1/PDLIM5/LIMA1/FSCN1/LPP/SEPTIN9/DIAPH3/MARCKS,10
GO:0015629,actin cytoskeleton,23/326,286/9144,0.0804195804195804,2.25569522502038,4.14827495087011,0.000220726175119122,0.0137218105532387,0.0137218105532387,MYO9B/PIEZO1/CAPG/CALD1/CYBA/AFAP1L1/CLIC4/ARSJ/PDLIM5/DPYSL3/LIMA1/COTL1/FSCN1/TAGLN2/AVIL/LPP/SPATA13/SH3PXD2B/SEPTIN9/DENND2A/DIAPH3/MARCKS/ANXA1,23
GO:0005788,endoplasmic reticulum lumen,15/326,161/9144,0.093167701863354,2.61326830011813,3.97079028884334,0.000614070850715581,0.0327212039024159,0.0327212039024159,SDF2L1/LGALS1/ARSJ/GPX7/LAMC1/FKBP10/TNC/STC2/MXRA8/APOE/DBI/IGFBP5/C4A/IGFBP3/SERPINH1,15
GO:0001725,stress fiber,8/326,57/9144,0.140350877192982,3.93671294801421,4.27618784321473,0.000861407210767981,0.0357005432907174,0.0357005432907174,CALD1/CYBA/AFAP1L1/PDLIM5/LIMA1/FSCN1/LPP/SEPTIN9,8
GO:0097517,contractile actin filament bundle,8/326,57/9144,0.140350877192982,3.93671294801421,4.27618784321473,0.000861407210767981,0.0357005432907174,0.0357005432907174,CALD1/CYBA/AFAP1L1/PDLIM5/LIMA1/FSCN1/LPP/SEPTIN9,8
GO:0016363,nuclear matrix,10/326,87/9144,0.114942528735632,3.22403215570129,4.00752847830776,0.00101042954582357,0.0376890220592191,0.0376890220592191,CLIC4/LMNA/TGFB1I1/VIM/TEP1/S100A10/BLM/TP53/ACTL6A/UHRF1,10
