ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0030527,structural constituent of chromatin,17/314,53/9008,0.320754716981132,9.20177863237592,11.3804194863531,1.11677860807368e-12,6.08644341400155e-10,2.31910226394398e-10,H2AC8/H2BC11/H4C11/H4C1/H4C8/H3C1/H2BC14/H2BC6/H1-2/H2AX/H2BC7/H2BC17/H2AC4/H2BC4/H2BC15/H2AC6/H4C2,17
GO:0046982,protein heterodimerization activity,23/314,192/9008,0.119791666666667,3.43657112526539,6.48543340747452,2.04932847730107e-07,5.58442010064541e-05,2.12781758036693e-05,CYBA/H2AC8/H2BC11/H4C11/H4C1/H4C8/H3C1/BAX/H2BC14/H2BC6/AHR/H2AX/NPAS3/IRAK1/H2BC7/BIRC5/H2BC17/H2AC4/H2BC4/H2BC15/TP53/H2AC6/H4C2,23
GO:0001968,fibronectin binding,7/314,18/9008,0.388888888888889,11.1564048124558,8.19674636499241,1.33714724543164e-06,0.000242915082920082,9.25573246027648e-05,MMP2/ITGB3/TNFAIP6/IGFBP5/IGFBP3/VEGFA/CCDC80,7
GO:0005198,structural molecule activity,31/314,389/9008,0.0796915167095116,2.28618210993401,4.92826340965801,1.34018476544475e-05,0.00182600174291847,0.000695756862903911,TUBB6/MATN2/H2AC8/FBN2/H2BC11/H4C11/H4C1/PXDN/H4C8/RNA5S1/H3C1/RPS2/LAMC1/LMNA/H2BC14/H2BC6/H1-2/H2AX/JAG1/H2BC7/TNC/H2BC17/H2AC4/H2BC4/VIM/H2BC15/APOE/H2AC6/RPS9/GFAP/H4C2,31
GO:0005179,hormone activity,6/314,20/9008,0.3,8.60636942675159,6.47151508547395,4.38251026273421e-05,0.00477693618638029,0.00182014401038636,FBN2/NMB/STC2/INHBB/ADM/METRN,6
GO:0030545,signaling receptor regulator activity,18/314,183/9008,0.0983606557377049,2.82176046778741,4.73156214952996,6.69048820227104e-05,0.0060771934503962,0.00231557777351839,LGALS1/FBN2/NMB/LYPD1/PXDN/CMTM3/LAMC1/JAG1/STC2/IL32/SEMA5A/APOE/INHBB/HLA-E/IGFBP5/ADM/METRN/VEGFA,18
GO:0048018,receptor ligand activity,16/314,157/9008,0.101910828025478,2.92360744857804,4.62077895279485,0.000111623556410922,0.00869069117770752,0.00331139225563075,LGALS1/FBN2/NMB/CMTM3/LAMC1/JAG1/STC2/IL32/SEMA5A/APOE/INHBB/HLA-E/IGFBP5/ADM/METRN/VEGFA,16
GO:0005539,glycosaminoglycan binding,12/314,98/9008,0.122448979591837,3.51280384765371,4.75310996195252,0.000143937998008541,0.00980577611433187,0.00373627027142999,TREM2/LIPG/TWSG1/DPYSL3/LTF/NRP2/TNFAIP6/APOE/ADGRG1/VEGFA/BCAN/CCDC80,12
GO:0030546,signaling receptor activator activity,16/314,163/9008,0.098159509202454,2.81598999648314,4.44634771860851,0.000173533647790723,0.0105084264495493,0.00400399936579981,LGALS1/FBN2/NMB/CMTM3/LAMC1/JAG1/STC2/IL32/SEMA5A/APOE/INHBB/HLA-E/IGFBP5/ADM/METRN/VEGFA,16
GO:0050839,cell adhesion molecule binding,27/314,368/9008,0.0733695652173913,2.10481860980338,4.11247344417807,0.000198716778976626,0.0108300644542261,0.00412655228777399,CAPG/NINJ1/CALD1/ZC3HAV1/PCDHB16/PCDHB7/NIBAN2/H3C1/RPS2/RACK1/PDLIM5/LIMA1/FSCN1/MMP14/ITGB3/TAGLN2/TNC/TRIM25/SEPTIN9/DIAPH3/PCDHGB2/NDRG1/CNGA3/ANXA1/PCDHGC3/GFAP/KIRREL1,27
GO:0008146,sulfotransferase activity,5/314,18/9008,0.277777777777778,7.96886058032555,5.62423255913039,0.00029369791134217,0.0145513965164984,0.00554448210712462,DSEL/HS3ST3A1/WSCD1/CHST11/CHST14,5
GO:0045296,cadherin binding,17/314,210/9008,0.080952380952381,2.32235365483773,3.68476992497428,0.00104961077827837,0.0476698228468093,0.018163513001949,CAPG/CALD1/ZC3HAV1/NIBAN2/H3C1/RPS2/RACK1/PDLIM5/LIMA1/FSCN1/TAGLN2/TRIM25/SEPTIN9/DIAPH3/NDRG1/CNGA3/ANXA1,17
