ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
R-HSA-912446,Meiotic recombination,20/216,56/5812,0.357142857142857,9.60978835978836,12.7186072722714,2.54074687503663e-15,1.50935594467591e-12,8.55582646245566e-13,H2AC8/PSMC3IP/H2BC11/H4C11/H4C1/H4C8/H3C1/H2BC14/H2BC6/H2AX/H2BC7/H2BC17/H2AC4/H2BC4/BLM/H2BC15/CDK4/H2AC6/CDK2/H4C2,20
R-HSA-9616222,Transcriptional regulation of granulopoiesis,20/216,57/5812,0.350877192982456,9.44119558154646,12.5814931988833,3.78759333670242e-15,1.50935594467591e-12,8.55582646245566e-13,H2AC8/H2BC11/H4C11/H4C1/H4C8/H3C1/H2BC14/H2BC6/H2AX/H2BC7/H2BC17/H2AC4/H2BC4/MYC/RARA/H2BC15/CDK4/H2AC6/CDK2/H4C2,20
R-HSA-2559586,DNA Damage/Telomere Stress Induced Senescence,19/216,52/5812,0.365384615384615,9.83155270655271,12.5672702865712,7.9942392191549e-15,2.12380288588882e-12,1.20388361646721e-12,H2AC8/H2BC11/H4C11/H4C1/H4C8/H2BC14/H2BC6/H1-2/H2AX/H2BC7/HMGA2/H2BC17/H2AC4/H2BC4/H2BC15/TP53/H2AC6/CDK2/H4C2,19
R-HSA-5334118,DNA methylation,17/216,41/5812,0.414634146341463,11.1567299006323,12.8213499742455,1.81320126125533e-14,3.61280351305124e-12,2.04792779394748e-12,H2AC8/H2BC11/H4C11/H4C1/H4C8/H3C1/H2BC14/H2BC6/H2AX/H2BC7/H2BC17/H2AC4/H2BC4/H2BC15/H2AC6/H4C2/UHRF1,17
R-HSA-9821002,Chromatin modifications during the maternal to zygotic transition (MZT),17/216,42/5812,0.404761904761905,10.8910934744268,12.6384700942168,2.94725363860321e-14,4.69792229993351e-12,2.66303041864404e-12,H2AC8/H2BC11/H4C11/H4C1/H4C8/H3C1/H2BC14/H2BC6/H2AX/H2BC7/H2BC17/H2AC4/H2BC4/H2BC15/H2AC6/H4C2/UHRF1,17
R-HSA-1500620,Meiosis,21/216,73/5812,0.287671232876712,7.74048706240487,11.3853938225716,7.04516380982128e-14,9.35832592737927e-12,5.30479327266628e-12,H2AC8/PSMC3IP/H2BC11/H4C11/H4C1/H4C8/H3C1/LMNA/H2BC14/H2BC6/H2AX/H2BC7/H2BC17/H2AC4/H2BC4/BLM/H2BC15/CDK4/H2AC6/CDK2/H4C2,21
R-HSA-1474165,Reproduction,22/216,85/5812,0.258823529411765,6.96427015250545,10.8821983703174,1.93730327424174e-13,1.58363620827795e-11,8.97688621791378e-12,H2AC8/PSMC3IP/H2BC11/H4C11/H4C1/H4C8/H3C1/LMNA/H2BC14/H2BC6/H2AX/H2BC7/H2BC17/H2AC4/H2BC4/PDPN/BLM/H2BC15/CDK4/H2AC6/CDK2/H4C2,22
R-HSA-9940465,ChAHP complex assembly,16/216,40/5812,0.4,10.762962962963,12.1719998014301,2.17662996444094e-13,1.58363620827795e-11,8.97688621791378e-12,H2AC8/H2BC11/H4C11/H4C1/H4C8/H3C1/H2BC14/H2BC6/H2AX/H2BC7/H2BC17/H2AC4/H2BC4/H2BC15/H2AC6/H4C2,16
R-HSA-73728,RNA Polymerase I Promoter Opening,16/216,40/5812,0.4,10.762962962963,12.1719998014301,2.17662996444094e-13,1.58363620827795e-11,8.97688621791378e-12,H2AC8/H2BC11/H4C11/H4C1/H4C8/H3C1/H2BC14/H2BC6/H2AX/H2BC7/H2BC17/H2AC4/H2BC4/H2BC15/H2AC6/H4C2,16
R-HSA-9970672,FXIIa activates plasma kallikrein-kinin system,16/216,40/5812,0.4,10.762962962963,12.1719998014301,2.17662996444094e-13,1.58363620827795e-11,8.97688621791378e-12,H2AC8/H2BC11/H4C11/H4C1/H4C8/H3C1/H2BC14/H2BC6/H2AX/H2BC7/H2BC17/H2AC4/H2BC4/H2BC15/H2AC6/H4C2,16
