signcon,ntimes,randomSummary,randomCi.lb,randomCi.ub,randomP,het_QE,het_QEp,het_QM,het_QMp,error,Gene_ID,Gene_Symbol,Gene_Description,Regulation
-2,2,-1.59388739735076,-2.18507084615164,-1.00270394854988,1.26219905741453e-07,0.463852372119655,0.495829044025791,27.9233115576265,1.26219905741453e-07,FALSE,ENSG00000003147,ICA1,islet cell autoantigen 1,DOWN
-2,2,-1.10243850724302,-2.13237913461692,-0.0724978798691234,0.0359116357636633,1.01409282748204,0.313924316884725,4.40129573698566,0.0359116357636634,FALSE,ENSG00000003249,DBNDD1,dysbindin domain containing 1,DOWN
-2,2,-1.29883516842933,-1.82779389278429,-0.769876444074379,1.48974498073246e-06,0.483108347304966,0.48701772634297,23.1611805398111,1.48974498073245e-06,FALSE,ENSG00000004660,CAMKK1,calcium/calmodulin dependent protein kinase kinase 1,DOWN
2,2,1.00286013204886,0.097011315784426,1.90870894831329,0.030017066215606,0.0130345052428376,0.909104017654342,4.70831459080382,0.030017066215606,FALSE,ENSG00000005243,COPZ2,COPI coat complex subunit zeta 2,UP
-2,2,-1.18136105493401,-1.73828543065975,-0.624436679208268,3.21718868077212e-05,0.127453911384013,0.721086656225893,17.2849858359921,3.21718868077213e-05,FALSE,ENSG00000005379,TSPOAP1,TSPO associated protein 1,DOWN
-2,2,-1.49970076682487,-1.90854387906659,-1.09085765458316,6.5050066856111e-13,0.05002485990254,0.823020021334113,51.6882749100333,6.50500668561114e-13,FALSE,ENSG00000005810,MYCBP2,MYC binding protein 2,DOWN
-2,2,-1.80239234027316,-2.580781090363,-1.02400359018332,5.66879921284808e-06,0.0585413480494236,0.808816431575991,20.5968946256075,5.66879921284806e-06,FALSE,ENSG00000006071,ABCC8,ATP binding cassette subfamily C member 8,DOWN
2,2,3.2887215687056,1.85386652040568,4.72357661700552,7.04634970249676e-06,0.479909953306004,0.488463106902973,20.1806121180809,7.04634970249674e-06,FALSE,ENSG00000006327,TNFRSF12A,TNF receptor superfamily member 12A,UP
-2,2,-2.8847748073494,-5.16917807347871,-0.600371541220099,0.013321059724009,4.43073348362743,0.0352973360844862,6.12596442774321,0.013321059724009,FALSE,ENSG00000006432,MAP3K9,mitogen-activated protein kinase kinase kinase 9,DOWN
2,2,1.23913970957524,0.461772710591773,2.01650670855871,0.00178274241034512,0.14141457561305,0.706878762942974,9.76078016411313,0.00178274241034512,FALSE,ENSG00000006534,ALDH3B1,aldehyde dehydrogenase 3 family member B1,UP
2,2,1.21756303575281,0.317744478184462,2.11738159332115,0.00800005082464582,0.000730478757877434,0.978437903474237,7.03346288847271,0.0080000508246458,FALSE,ENSG00000006634,DBF4,DBF4-CDC7 kinase regulatory subunit,UP
-2,2,-2.80881211107396,-4.9989577956623,-0.61866642648562,0.0119502738681436,2.96905375759582,0.0848714844065541,6.31823174956316,0.0119502738681436,FALSE,ENSG00000006740,ARHGAP44,Rho GTPase activating protein 44,DOWN
-2,2,-1.43516881425456,-2.79479357662032,-0.0755440518887933,0.0385588186503826,1.54976587853761,0.213170006867311,4.28019966047186,0.0385588186503825,FALSE,ENSG00000007264,MATK,megakaryocyte-associated tyrosine kinase,DOWN
