Gene_ID,log2FC,P.Value,FDR,Gene_Symbol,Gene_Description,Significance
ENSG00000003147,-1.59388739735076,1.26219905741453e-07,1.43635416331397e-05,ICA1,islet cell autoantigen 1,Down
ENSG00000004660,-1.29883516842933,1.48974498073246e-06,0.000106616197533801,CAMKK1,calcium/calmodulin dependent protein kinase kinase 1,Down
ENSG00000005379,-1.18136105493401,3.21718868077212e-05,0.00119792966760515,TSPOAP1,TSPO associated protein 1,Down
ENSG00000005810,-1.49970076682487,6.5050066856111e-13,7.32030085687436e-10,MYCBP2,MYC binding protein 2,Down
ENSG00000006071,-1.80239234027316,5.66879921284808e-06,0.000310343775285002,ABCC8,ATP binding cassette subfamily C member 8,Down
ENSG00000006327,3.2887215687056,7.04634970249676e-06,0.000367863040138594,TNFRSF12A,TNF receptor superfamily member 12A,Up
ENSG00000006534,1.23913970957524,0.00178274241034512,0.0226829335828836,ALDH3B1,aldehyde dehydrogenase 3 family member B1,Up
ENSG00000008300,-1.23919216718688,0.00208263951909924,0.0252571621423748,CELSR3,cadherin EGF LAG seven-pass G-type receptor 3,Down
ENSG00000008517,1.49537950007215,0.00383008906484218,0.0387137146194826,IL32,interleukin 32,Up
ENSG00000011028,3.24690660757765,3.96908297071515e-09,9.5711600779531e-07,MRC2,mannose receptor C type 2,Up
ENSG00000011304,1.38384900162766,0.000242185124880902,0.00537905908946003,PTBP1,polypyrimidine tract binding protein 1,Up
ENSG00000012223,4.06500775493476,0.000527539388944241,0.00941530475042984,LTF,lactotransferrin,Up
ENSG00000013364,1.61317082434761,8.38951115665685e-05,0.00238676879198372,MVP,major vault protein,Up
ENSG00000013573,2.28502186039197,1.72559475686101e-06,0.000118086646604651,DDX11,DEAD/H-box helicase 11,Up
ENSG00000018236,-1.86354843165323,0.00112459034450055,0.0163647284613528,CNTN1,contactin 1,Down
ENSG00000018408,2.36615512945861,5.5121307007034e-05,0.00176109967623735,WWTR1,WW domain containing transcription regulator 1,Up
ENSG00000020129,-1.22683665192852,1.6712033983934e-06,0.000115924650570926,NCDN,neurochondrin,Down
ENSG00000022267,-1.22846737340863,0.00389358422701749,0.0392380308967494,FHL1,four and a half LIM domains 1,Down
ENSG00000022567,-1.62681462851976,0.00523095796319907,0.0490547613437779,SLC45A4,solute carrier family 45 member 4,Down
ENSG00000023171,-1.59183157566654,2.37582036851513e-05,0.000947334987886663,GRAMD1B,GRAM domain containing 1B,Down
ENSG00000023228,-1.00229311956942,0.000111031926733057,0.00296710119776359,NDUFS1,NADH:ubiquinone oxidoreductase core subunit S1,Down
ENSG00000026025,2.33650198632431,4.06948594636097e-08,6.24481116132484e-06,VIM,vimentin,Up
ENSG00000026950,1.75160838633095,4.05338078938372e-06,0.000235934716292404,BTN3A1,butyrophilin subfamily 3 member A1,Up
ENSG00000031081,1.13957822693899,0.00319268680028518,0.0341092108789961,ARHGAP31,Rho GTPase activating protein 31,Up
ENSG00000033627,-1.00041753799043,0.000105772298821682,0.00287973613566128,ATP6V0A1,ATPase H+ transporting V0 subunit a1,Down
ENSG00000036530,-1.90436091635495,1.15091302810879e-05,0.000557397431297107,CYP46A1,cytochrome P450 family 46 subfamily A member 1,Down
ENSG00000040341,-1.22323941802197,2.68299662075463e-11,1.81155931833353e-08,STAU2,staufen double-stranded RNA binding protein 2,Down
