Gene_ID,log2FC,P.Value,FDR,Gene_Symbol,Gene_Description,Significance
ENSG00000000419,-0.071790387845357,0.800158787346313,0.920910022527666,DPM1,"dolichyl-phosphate mannosyltransferase subunit 1, catalytic",NS
ENSG00000000457,-0.120233841635374,0.600427104679786,0.823287096793228,SCYL3,SCY1 like pseudokinase 3,NS
ENSG00000001084,-0.43153073310596,0.612034825163963,0.829034199446384,GCLC,glutamate-cysteine ligase catalytic subunit,NS
ENSG00000001460,-2.16886982190626,0.165290658179978,0.454180402096274,STPG1,sperm tail PG-rich repeat containing 1,NS
ENSG00000001461,-1.18707488291028,0.416516910204331,0.707631158658112,NIPAL3,NIPA like domain containing 3,NS
ENSG00000001617,0.84013076622008,0.197376075329379,0.498634295568957,SEMA3F,semaphorin 3F,NS
ENSG00000001629,-0.626689738691437,0.0123213844944945,0.0890727924055962,ANKIB1,ankyrin repeat and IBR domain containing 1,NS
ENSG00000001630,-0.129065224989458,0.798281370096454,0.91968987786792,CYP51A1,cytochrome P450 family 51 subfamily A member 1,NS
ENSG00000002016,-0.0257261946593439,0.951095654512226,0.980926353248455,RAD52,"RAD52 homolog, DNA repair protein",NS
ENSG00000002549,0.684834017526193,0.0366575402949958,0.186566617139557,LAP3,leucine aminopeptidase 3,NS
ENSG00000002587,-0.23602876625971,0.721517692356231,0.88191300847018,HS3ST1,heparan sulfate-glucosamine 3-sulfotransferase 1,NS
ENSG00000002746,-2.08740637502849,0.0957864685319348,0.331440161698475,HECW1,"HECT, C2 and WW domain containing E3 ubiquitin protein ligase 1",NS
ENSG00000002822,0.241807503942522,0.522653389261764,0.780881550740452,MAD1L1,mitotic arrest deficient 1 like 1,NS
ENSG00000002834,0.111813432295425,0.846203606497082,0.94146670552153,LASP1,LIM and SH3 protein 1,NS
ENSG00000002919,0.30114413492038,0.218893359610561,0.524178397499064,SNX11,sorting nexin 11,NS
ENSG00000002933,0.906883017005107,0.0819825984135462,0.301277125084324,TMEM176A,transmembrane protein 176A,NS
ENSG00000003056,0.323397620994943,0.385634306127652,0.68042220338663,M6PR,"mannose-6-phosphate receptor, cation dependent",NS
ENSG00000003137,-0.809620102798906,0.0640611352526514,0.257464753110656,CYP26B1,cytochrome P450 family 26 subfamily B member 1,NS
ENSG00000003147,-1.59388739735076,1.26219905741453e-07,1.43635416331397e-05,ICA1,islet cell autoantigen 1,Down
ENSG00000003249,-1.10243850724302,0.0359116357636633,0.184781569639337,DBNDD1,dysbindin domain containing 1,NS
ENSG00000003393,-0.393416651898529,0.237284087466458,0.545886734464433,ALS2,alsin Rho guanine nucleotide exchange factor ALS2,NS
ENSG00000003400,-0.306893036242718,0.817766389200866,0.928764887167569,CASP10,caspase 10,NS
ENSG00000003402,0.979899947510133,0.000358559804449266,0.00714860964461056,CFLAR,CASP8 and FADD like apoptosis regulator,NS
ENSG00000003509,-0.842341618055848,0.000796080021933685,0.0127695945066739,NDUFAF7,NADH:ubiquinone oxidoreductase complex assembly factor 7,NS
ENSG00000003756,-0.0631159666759885,0.754188574635591,0.89906095620401,RBM5,RNA binding motif protein 5,NS
ENSG00000003987,-2.69500387564729,0.329550522863437,0.634240534193269,MTMR7,myotubularin related protein 7,NS
ENSG00000004059,-0.580196066183957,0.0942506824327514,0.327808430943234,ARF5,ADP ribosylation factor 5,NS
ENSG00000004139,0.262583339868929,0.275142274712495,0.584569112290361,SARM1,sterile alpha and TIR motif containing 1,NS
ENSG00000004399,0.181077148469894,0.565717222606135,0.804390333538614,PLXND1,plexin D1,NS
ENSG00000004468,0.413437135240532,0.661660101677073,0.856400147800865,CD38,CD38 molecule,NS
ENSG00000004534,0.153738676453263,0.26944137823624,0.579877237309103,RBM6,RNA binding motif protein 6,NS
ENSG00000004660,-1.29883516842933,1.48974498073246e-06,0.000106616197533801,CAMKK1,calcium/calmodulin dependent protein kinase kinase 1,Down
ENSG00000004700,0.635124349335813,0.473966995587681,0.753348670952924,RECQL,RecQ like helicase,NS
ENSG00000004766,-0.52017134461774,0.497968889102131,0.76794511483029,VPS50,VPS50 subunit of EARP/GARPII complex,NS
ENSG00000004776,-0.0107341150308518,0.97912197878078,0.992846155495769,HSPB6,heat shock protein family B (small) member 6,NS
ENSG00000004777,-0.36026347921315,0.44439839705924,0.728114984767724,ARHGAP33,Rho GTPase activating protein 33,NS
ENSG00000004779,-0.62419477683853,0.00390601203558649,0.0393241450262624,NDUFAB1,NADH:ubiquinone oxidoreductase subunit AB1,NS
ENSG00000004799,-0.19398802233841,0.750970930427464,0.898593180427663,PDK4,pyruvate dehydrogenase kinase 4,NS
ENSG00000004838,1.26232115952408,0.476349680216138,0.75444695189597,ZMYND10,zinc finger MYND-type containing 10,NS
ENSG00000004848,-1.49875727271468,0.0616637649541085,0.252437595576076,ARX,aristaless related homeobox,NS
ENSG00000004866,-0.0602840220647838,0.827830451372679,0.933310892635129,ST7,suppression of tumorigenicity 7,NS
ENSG00000004897,-0.308939648840928,0.260318310047226,0.57178605075404,CDC27,cell division cycle 27,NS
ENSG00000004975,0.457693048917363,0.436809662217511,0.723468235312993,DVL2,dishevelled segment polarity protein 2,NS
ENSG00000005007,-0.0473849643548051,0.94159945640916,0.978505981378204,UPF1,UPF1 RNA helicase and ATPase,NS
ENSG00000005020,-1.09380835681055,0.199081427085209,0.500818850849229,SKAP2,src kinase associated phosphoprotein 2,NS
