stringId_A,stringId_B,preferredName_A,preferredName_B,ncbiTaxonId,score,nscore,fscore,pscore,ascore,escore,dscore,tscore
9606.ENSP00000055077,9606.ENSP00000383986,RFC2,CDCA7L,9606,0.703,0,0,0,0.17,0.597,0,0.183
9606.ENSP00000055077,9606.ENSP00000306999,RFC2,ESCO2,9606,0.724,0,0,0,0.185,0.125,0,0.644
9606.ENSP00000055077,9606.ENSP00000347232,RFC2,BLM,9606,0.833,0,0,0,0.182,0.159,0.5,0.573
9606.ENSP00000064780,9606.ENSP00000371693,RELT,TNFRSF19,9606,0.722,0,0,0,0,0,0,0.722
9606.ENSP00000162749,9606.ENSP00000367013,TNFRSF1A,TNFRSF25,9606,0.728,0,0,0,0.044,0,0,0.728
9606.ENSP00000162749,9606.ENSP00000295981,TNFRSF1A,IL17RC,9606,0.734,0,0,0,0.06,0,0,0.729
9606.ENSP00000162749,9606.ENSP00000269305,TNFRSF1A,TP53,9606,0.741,0,0,0,0.087,0,0,0.728
9606.ENSP00000162749,9606.ENSP00000326737,TNFRSF1A,TNFRSF12A,9606,0.751,0,0,0,0.082,0,0,0.74
9606.ENSP00000162749,9606.ENSP00000362680,TNFRSF1A,SRC,9606,0.934,0,0,0,0.057,0.627,0,0.827
9606.ENSP00000162749,9606.ENSP00000365926,TNFRSF1A,RFK,9606,0.978,0,0,0,0,0.334,0,0.969
9606.ENSP00000162749,9606.ENSP00000321203,TNFRSF1A,TNIP2,9606,0.995,0,0,0,0.06,0.994,0,0.186
9606.ENSP00000166345,9606.ENSP00000301633,TRIP13,BIRC5,9606,0.716,0,0,0,0.619,0.071,0,0.262
9606.ENSP00000166345,9606.ENSP00000468425,TRIP13,TK1,9606,0.722,0.042,0,0,0.407,0,0,0.55
9606.ENSP00000166345,9606.ENSP00000442068,TRIP13,CDCA3,9606,0.774,0,0,0,0.69,0,0,0.301
9606.ENSP00000166345,9606.ENSP00000313950,TRIP13,AURKB,9606,0.788,0,0,0,0.562,0.308,0,0.357
9606.ENSP00000166345,9606.ENSP00000377793,TRIP13,PRC1,9606,0.82,0,0,0,0.729,0.292,0,0.137
9606.ENSP00000166345,9606.ENSP00000275517,TRIP13,CDCA5,9606,0.876,0,0,0,0.811,0,0,0.371
9606.ENSP00000171887,9606.ENSP00000362680,TNS1,SRC,9606,0.783,0,0,0,0.044,0.092,0,0.77
9606.ENSP00000173229,9606.ENSP00000362680,NTN1,SRC,9606,0.75,0,0,0,0.042,0.045,0.5,0.519
9606.ENSP00000173229,9606.ENSP00000422591,NTN1,SLIT2,9606,0.821,0,0,0,0.049,0.127,0,0.802
9606.ENSP00000205143,9606.ENSP00000222725,DLL3,LFNG,9606,0.848,0,0,0,0,0.073,0,0.843
9606.ENSP00000215095,9606.ENSP00000222812,STX1B,STX1A,9606,0.814,0,0,0.05,0.084,0,0.8,0.058
9606.ENSP00000215909,9606.ENSP00000469194,LGALS1,EMP3,9606,0.748,0,0,0,0.646,0,0,0.316
9606.ENSP00000215909,9606.ENSP00000446007,LGALS1,VIM,9606,0.879,0,0,0,0.51,0,0,0.762
9606.ENSP00000219070,9606.ENSP00000231004,MMP2,LOX,9606,0.73,0,0,0,0.29,0.238,0,0.542
9606.ENSP00000219070,9606.ENSP00000370473,MMP2,IGFBP3,9606,0.801,0,0,0,0.139,0,0.4,0.646
9606.ENSP00000219070,9606.ENSP00000289473,MMP2,NCF1,9606,0.928,0,0,0,0.056,0,0.9,0.3
9606.ENSP00000219070,9606.ENSP00000261623,MMP2,CYBA,9606,0.949,0,0,0,0.044,0,0.9,0.516
9606.ENSP00000219070,9606.ENSP00000352798,MMP2,COL18A1,9606,0.96,0,0,0,0.115,0.503,0.75,0.687
9606.ENSP00000219070,9606.ENSP00000362680,MMP2,SRC,9606,0.972,0,0,0,0.042,0,0.9,0.74
9606.ENSP00000219070,9606.ENSP00000308208,MMP2,MMP14,9606,0.997,0,0,0.084,0.381,0,0.9,0.961
9606.ENSP00000219255,9606.ENSP00000286201,PARD6A,FZD7,9606,0.716,0,0,0,0,0.071,0.5,0.439
9606.ENSP00000220478,9606.ENSP00000300175,SCG3,SCG5,9606,0.925,0,0,0,0.235,0,0,0.906
9606.ENSP00000220822,9606.ENSP00000285208,GDAP1,RAB6B,9606,0.779,0,0,0,0.082,0,0,0.769
9606.ENSP00000222256,9606.ENSP00000335614,RAB3A,PPFIA3,9606,0.79,0,0,0,0.297,0,0.5,0.45
9606.ENSP00000222256,9606.ENSP00000222812,RAB3A,STX1A,9606,0.819,0,0,0,0.115,0,0.5,0.623
9606.ENSP00000222256,9606.ENSP00000345824,RAB3A,TSPOAP1,9606,0.835,0,0,0,0,0,0.5,0.683
9606.ENSP00000222256,9606.ENSP00000263233,RAB3A,SYP,9606,0.986,0,0,0,0.174,0.095,0.8,0.922
9606.ENSP00000222256,9606.ENSP00000427018,RAB3A,RIMS2,9606,0.994,0,0,0,0.07,0.361,0.9,0.924
9606.ENSP00000222256,9606.ENSP00000374036,RAB3A,RPH3A,9606,0.999,0,0,0,0.146,0.8,0,0.999
9606.ENSP00000222644,9606.ENSP00000418070,MPP6,NECTIN3,9606,0.718,0,0,0,0.073,0.059,0,0.703
9606.ENSP00000222725,9606.ENSP00000364902,LFNG,POFUT1,9606,0.755,0,0,0,0.042,0,0,0.755
9606.ENSP00000222725,9606.ENSP00000254958,LFNG,JAG1,9606,0.786,0,0,0,0.042,0.125,0,0.765
9606.ENSP00000222812,9606.ENSP00000346265,STX1A,SYT5,9606,0.876,0,0,0,0.085,0.091,0.8,0.343
9606.ENSP00000222812,9606.ENSP00000494136,STX1A,SLC6A1,9606,0.9,0,0,0,0.094,0.634,0,0.722
9606.ENSP00000222812,9606.ENSP00000263233,STX1A,SYP,9606,0.914,0,0,0,0.098,0.292,0.5,0.764
9606.ENSP00000227155,9606.ENSP00000477213,CD82,APBB1,9606,0.764,0,0,0,0.044,0,0,0.764
