Symbol,Degree,Betweenness,Closeness,Eigenvector,Log2FC
TP53,40,0.247817653665334,0.317477876106195,0.75939677216468,1.79657269344743
MYC,23,0.192217221645306,0.317477876106195,0.30564268045808,2.3321940013985
SRC,21,0.126107464949647,0.295876288659794,0.114720532997211,-1.1492041324562
PRKACB,19,0.205438835896622,0.28989898989899,0.0111652781521705,-1.35990657419623
H4C11,18,0.0032007947339161,0.248269896193772,1,1.90306299804496
H4C2,18,0.0032007947339161,0.248269896193772,1,1.25639765572141
H4C8,18,0.0032007947339161,0.248269896193772,1,1.25567938820148
H4C1,17,0.00218030751835615,0.248055315471046,0.967777322892223,2.08402418543912
H3C1,17,0.0098891565057446,0.252418645558487,0.83568469031449,1.31389080252909
H2AC8,16,0.00299500073245451,0.246351931330472,0.90934992703817,1.36176736647016
H2AC6,16,0.000241353943466175,0.215627347858753,0.906089987214208,1.3720801593999
H2AX,16,0.00748835544632467,0.262820512820513,0.707563027458199,1.76789789739345
H2BC4,15,0.000277843668459059,0.216277317256971,0.862761286947561,1.50217159679261
H2BC7,15,0.000213792202437386,0.215465465465465,0.863731867420847,2.20032526794694
ACTL6A,15,0.0192520918574867,0.263302752293578,0.708473547589574,1.72332921392191
H2BC17,15,0.000102471091256122,0.213224368499257,0.865665376420134,6.33016621254433
BIRC5,14,0.0356513581113465,0.26797385620915,0.126917111238402,1.83705095689305
AURKB,14,0.039499540122442,0.268978444236176,0.157715082114587,2.45839171160792
PLCB1,14,0.0407643097212455,0.218916857360793,0.00073485332695361,-1.80862575975813
H2BC14,14,0.00577087933766012,0.24762726488352,0.797519329859758,3.03449704085221
H2BC6,14,0.000192738439263278,0.215303825956489,0.817465394740811,2.17341968533108
H2AC4,12,0.00100251696254729,0.245508982035928,0.722724377077619,2.84706116241989
H2BC15,12,1.92788104806846e-05,0.211495946941783,0.731686603191657,1.38097190308923
H2BC11,11,0.000580092886314778,0.245299145299145,0.661672350808935,4.01966600556747
CALM1,11,0.110356720234764,0.283877349159248,0.0222402414375324,-1.16282632105645
CDK4,9,0.00348295428162274,0.263544536271809,0.157872658907227,1.80556435190259
PLCB4,9,0.0149226735449808,0.216277317256971,0.000526667487670859,-1.86163476692281
CAMK2B,9,0.0288776849643914,0.245089666951324,0.00208932982654511,-1.98653680040988
APOE,8,0.036938190749079,0.208272859216255,0.00435580699726753,1.14653239119949
CDK2,8,0.00313007466099132,0.263061411549038,0.150171347445459,1.85051506791822
CDCA5,8,0.00628775969346961,0.215789473684211,0.0345215557696364,1.29150103150638
H1-2,8,0,0.2,0.503347519088921,1.36571354807783
PPP3CA,8,0.0117656315130278,0.235245901639344,0.00200997099466458,-1.5244485585582
CDCA3,8,0.00498887807271906,0.216277317256971,0.032318233929931,1.85880411503598
GABARAPL1,8,0.0564066395945446,0.232200647249191,0.000792054555321545,-1.41528750994857
CALM2,8,0.00772056601242029,0.23582580115037,0.00218554430450273,-1.14701705156597
