Symbol,pooled_log2FC
DNAAF11,-2.00415427098026
MAP2K4,-1.31544821869705
TMT1B,3.45714437142921
TSPYL1,-1.44796787700333
TNS1,1.49354235692764
BTBD10,-1.72527800822112
GNAL,-2.16127180093796
MYCBP2,-1.49970076682487
SMIM10L2A,-1.54909134981357
SCN8A,-1.49470199406934
RAB11FIP2,-1.29140649031692
TTC9,-1.42316442661161
PAK1,-1.68913747574553
STAU2,-1.22323941802197
AKAP5,-1.7417704257273
SEPTIN5,-1.5376050763271
EIF4EBP1,2.72308738457117
PPP3R1,-1.66892130146113
FBXL17,-1.40806795524435
CD200,-1.29949965363601
WDR17,-1.885847884882
CACNB3,-1.61741966524817
RNA5S1,4.36745966081635
PITPNM3,-1.3762725257399
TBCEL,-1.58541710360095
H2BC17,6.33016621254433
NPTN,-1.40529740554992
NCR3LG1,-1.3700807434266
ANKRD42,-1.55141401510166
SPTBN4,-1.56853036186838
RAB6B,-1.26510916721523
DOK6,-2.13725239382683
HERC1,-1.04959175813545
PAXBP1,1.22760032748644
SV2B,-1.94335203555834
OXR1,-1.54612425144573
SPOCD1,3.95323419151218
MMP14,2.45084929181175
FOXP1,-1.72949203406053
MRC2,3.24690660757765
R3HDM1,-1.68580981671361
FIBIN,2.11019605625771
GLRA3,-2.71424471763295
EPHA6,-2.56368193969604
VEGFA,3.984231941874
KCTD5,1.16309229456161
PRKACB,-1.35990657419623
H2BC11,4.01966600556747
FAM234B,-1.52684198175583
CRISPLD1,1.80509044405587
TSPYL4,-1.19562292877877
UBQLN1,-1.00812342223734
BTBD8,-1.85369244109154
EFR3A,-1.28577637834857
NAP1L3,-1.6853351727164
C3orf80,-2.48154698203627
MIR600HG,-1.43559305763414
ATP2B1,-2.14258296515698
SHC3,-1.03564409291636
GFOD1,-1.09542173445093
RAB37,-1.83309420420779
OIP5-AS1,-1.18491519300681
VIM,2.33650198632431
CISD1,-1.48993358449127
C17orf107,-2.18956221504142
DACH2,-1.73418544449432
SLC9B2,-1.01660270003346
ACTL6A,1.72332921392191
SERPINH1,2.32569012246288
PPFIA3,-1.56447039241897
MAPK9,-1.1787338726871
TMOD2,-1.27332190005207
YWHAH,-1.45694156287123
RAPGEFL1,-1.54289702995893
C15orf61,-1.2420785922962
REEP5,-1.05977411575924
CHL1,-1.52113265261517
SYT5,-2.18723719152383
ADCY1,-1.71064334573072
PLCB1,-1.80862575975813
PHF19,1.75713793569722
ICA1,-1.59388739735076
PNMA8B,-1.93277724329057
CBLN4,-3.56698779676658
PDPN,2.78763448961795
PPP3CA,-1.5244485585582
NCEH1,-1.56346918731062
OAT,-1.09394689324178
UHRF1,2.98822603655034
ADM,4.89452169737263
LFNG,2.74396013526964
PLEKHM3,-1.29517522384981
NLK,-1.89855567688259
FGF12,-1.57361601327824
TSPYL2,-1.31252577492074
RPS6KC1,-1.15394019763509
DUSP19,-1.18615743387092
PPM1L,-1.34100498754685
HAGH,-1.18571979747457
SEC61G,3.17252768860932
CNTNAP1,-1.37221958609099
SEMA5A,1.56753768284461
NEURL1,-1.71405818625178
KCNH4,-3.41420240556628
LINC00641,-1.06279054314856
KIFAP3,-1.04337152574217
LIMA1,2.01802372293861
ZFP36L2,1.64154432235909
KCNA2,-1.90778460617388
RBM3,1.02945497788199
ATP13A2,-1.09322283823377
FABP7,2.22209543197016
RELL2,-1.73388493023247
YPEL5,-1.40129860469538
VWA3A,-2.37275378717916
NT5C,1.77128736099479
FKBP10,1.8064585430572
HTR3B,-2.19559447618832
RUNDC3A,-2.00388799037076
UNK,1.09584246649961
CCDC148,-1.22744734715497
GABARAPL1,-1.41528750994857
CDKN2C,2.18977041449022
TLCD3B,-1.33149132437289
TUBB6,2.80529107604788
LYPD1,2.16655928454691
CAMKK1,-1.29883516842933
SCG3,-1.05666979880274
GARNL3,-1.25161431970135
RPS2,1.17161887231574
NCDN,-1.22683665192852
TUBA4A,-2.02712178480072
DDX11,2.28502186039197
KIF3A,-1.38029505505766
RAPGEF5,-1.15461767905089
CAMK1D,-1.20668197422809
NR3C2,-1.63725137765182
LINC00622,-1.99883790976005
ZNF789,1.38526359264459
CA10,-2.1547888114893
F2R,1.99840211316692
STARD4,-1.56277980238549
AASDHPPT,-1.10504662556532
FBN2,4.16171318578725
KCNC4,-1.60417230268083
BASP1,-1.34843383526708
YPEL4,-1.55418243244548
KIF3C,-1.21553786703724
SP1,1.19359638028886
TMEM70,-1.0598417277788
NHSL3,-1.67476735604962
NDRG4,-1.17048408519772
LSM11,-1.15965599385406
SLC46A3,-3.32843344202133
BTN3A1,1.75160838633095
NHS,-1.43106847693854
BEND6,-1.57587081276273
KIAA1549L,-1.58188408073208
EML6,-1.21860694427664
EPCIP,2.32867236907311
RTN4,-1.10260188486314
SERP2,-1.31273753996509
DHX40,1.10969431191359
ABCC8,-1.80239234027316
ZFYVE9,-1.05516716948291
SEMA6B,-1.19793374599708
PREX1,1.23321878501652
MMP2,3.24482493595966
TNFRSF12A,3.2887215687056
SOX6,1.24120213178756
TBX2,1.90977858291992
MT2A,2.02477023032998
RNPC3,-1.09147029921592
FAM135B,-1.36392903478726
TUBA8,-2.5390216890816
SLC25A16,-2.17507193793707
TTLL11,-1.12740985556165
EIF4E3,-1.31291399714216
CNGA3,2.31208133728216
TCEAL5,-1.2078376773134
CYP46A1,-1.90436091635495
RIMS2,-1.17154524890663
UBE2QL1,-1.4821161791472
CBX6,-1.23970904750446
FAM217B,-1.26980968024
RPS9,2.09950448960627
MFSD6,-1.12467104506236
