Symbol,Module,Degree,Log2FC
TP53,1,40,1.79657269344743
MYC,1,23,2.3321940013985
CDK4,1,9,1.80556435190259
CDK2,1,8,1.85051506791822
ANXA5,1,6,1.70934226388522
PXDN,1,5,1.98665158412826
BLM,1,5,1.48606620165775
BCL2L11,1,5,1.07997211904208
HMGA2,1,4,2.066961939831
RFC2,1,3,1.12584641024681
BAX,1,3,1.06601358327761
S100A10,1,3,2.37591967700078
E2F5,1,3,1.14133380429049
ANXA1,1,3,2.18364882874574
GADD45G,1,2,1.80445933043602
CDKN2C,1,2,2.18977041449022
LDB2,1,2,-2.02163385988012
CDCA7L,1,2,2.06345937334611
NDRG1,1,2,1.5287110329332
COX6C,1,2,-1.14518668686849
CDKN2D,1,2,-1.35112960943214
LMO3,1,2,-1.8062680652499
XAF1,1,2,1.78209569052816
FOXP1,1,2,-1.72949203406053
NUAK1,1,1,-1.65137168541283
CBFA2T3,1,1,-1.91381502039307
SAMD9L,1,1,1.60070180030052
CAVIN1,1,1,1.88643464122041
SATB1,1,1,-1.28816260902676
MYCBP2,1,1,-1.49970076682487
AFAP1L1,1,1,1.70096262443868
GPX7,1,1,1.2918823190685
HERC1,1,1,-1.04959175813545
NUPR1,1,1,1.15938264061479
PLK2,1,1,-1.37140421973984
USP27X,1,1,-1.20107571077958
LPP,1,1,1.33385000223055
RTN4,2,4,-1.10260188486314
RTN1,2,3,-1.71802236924046
ATL1,2,3,-1.44131637001045
REEP5,2,3,-1.05977411575924
TNFRSF19,2,2,1.38792592621069
RELT,2,1,1.24950773620874
SRC,3,21,-1.1492041324562
TNFRSF1A,3,7,1.17046785067176
MMP2,3,6,3.24482493595966
BYSL,3,6,1.53592933208808
NCF1,3,6,1.56609194510357
ERBB4,3,6,-1.35498314064148
RACK1,3,6,1.02254523435206
ITGB3,3,5,2.11229314534382
CYBA,3,4,1.40386359461172
EFNA5,3,4,-1.69178010807344
RPS2,3,4,1.17161887231574
RPS9,3,4,2.09950448960627
PTK2B,3,4,-1.17738334494168
MMP14,3,3,2.45084929181175
TNFRSF12A,3,3,3.2887215687056
FGF17,3,3,-1.71271662727727
TNFRSF25,3,3,-1.47661248082501
TGFB1I1,3,3,1.75064305373754
SEC61G,3,3,3.17252768860932
IGFBP3,3,3,1.94521253107888
NTN1,3,2,1.82891435855754
LAMC1,3,2,1.97353628139373
TRAF4,3,2,1.60189840936492
PITPNM3,3,2,-1.3762725257399
SH3PXD2B,3,2,1.87558047533421
SV2A,3,2,-1.05151004220512
RFK,3,2,-1.05676056212131
SV2B,3,2,-1.94335203555834
C4A,3,2,1.68147649307255
SHC3,3,2,-1.03564409291636
FGF14,3,2,-1.16798550369275
TNS1,3,1,1.49354235692764
IGFBP5,3,1,2.29967226238731
TNC,3,1,4.73272583346946
MASP1,3,1,1.71290660483538
F2R,3,1,1.99840211316692
IL32,3,1,1.49537950007215
IL17RC,3,1,1.205784303325
TNIP2,3,1,1.25787361453076
SLIT2,3,1,-2.76406374880424
WDR17,3,1,-1.885847884882
MCC,3,1,1.03674204412268
SEMA4A,3,1,-1.00848074295549
GTF2IRD2B,3,1,1.18278395419009
EPHB6,3,1,-2.3367480440723
EPHA6,3,1,-2.56368193969604
EPHA5,3,1,-1.62747395685416
BIRC5,4,14,1.83705095689305
AURKB,4,14,2.45839171160792
CDCA5,4,8,1.29150103150638
CDCA3,4,8,1.85880411503598
TRIP13,4,6,1.72452623497612
PRC1,4,6,1.76541466105429
TK1,4,6,2.37276145568867
TROAP,4,4,2.52248460167388
WEE1,4,4,3.99595886475846
UHRF1,4,4,2.98822603655034
SHCBP1,4,3,1.38323616043495
ESCO2,4,3,1.83957903650733
HASPIN,4,3,2.93917048308321
KCNJ11,4,3,-1.37658078080162
KPNA2,4,3,1.20422191878805
NT5C,4,2,1.77128736099479
SHMT2,4,2,1.66173289660651
CTDSP1,4,1,1.2953501030999
MAPRE2,4,1,-1.14411588688604
NT5C3A,4,1,1.16579446149402
NCAPG2,4,1,2.28011400843572
DDX11,4,1,2.28502186039197
MTHFD2,4,1,1.67637645759562
LFNG,5,3,2.74396013526964
LOX,5,3,3.15940710979236
JAG1,5,3,1.54200622686075
FKBP10,5,3,1.8064585430572
PLOD2,5,2,1.98809113562379
TBL2,5,2,1.05227128104666
POFUT1,5,2,1.26627166569014
DLL3,5,1,3.43278313317087
NEURL1,5,1,-1.71405818625178
HEY2,5,1,1.36127401891812
SERPINH1,5,1,2.32569012246288
SYP,6,7,-1.94267940639163
RAB3A,6,6,-2.39497381035417
