Gene_ID,n_datasets
ENSG00000002746,2
ENSG00000006432,2
ENSG00000006740,2
ENSG00000011677,2
ENSG00000012223,2
ENSG00000013573,2
ENSG00000041982,2
ENSG00000054803,2
ENSG00000055163,2
ENSG00000066032,2
ENSG00000071575,2
ENSG00000072858,2
ENSG00000074706,2
ENSG00000078295,2
ENSG00000080224,2
ENSG00000089558,2
ENSG00000104327,2
ENSG00000104722,2
ENSG00000105613,2
ENSG00000107242,2
ENSG00000107758,2
ENSG00000108924,2
ENSG00000116299,2
ENSG00000117155,2
ENSG00000117600,2
ENSG00000118733,2
ENSG00000122912,2
ENSG00000125814,2
ENSG00000128739,2
ENSG00000133958,2
ENSG00000134668,2
ENSG00000136531,2
ENSG00000138772,2
ENSG00000140015,2
ENSG00000144290,2
ENSG00000144619,2
ENSG00000148935,2
ENSG00000149305,2
ENSG00000149575,2
ENSG00000150551,2
ENSG00000151150,2
ENSG00000151948,2
ENSG00000152413,2
ENSG00000152822,2
ENSG00000152969,2
ENSG00000153976,2
ENSG00000154027,2
ENSG00000155816,2
ENSG00000155966,2
ENSG00000157445,2
ENSG00000162493,2
ENSG00000162989,2
ENSG00000164604,2
ENSG00000166111,2
ENSG00000166483,2
ENSG00000167281,2
ENSG00000169891,2
ENSG00000170011,2
ENSG00000170439,2
ENSG00000172031,2
ENSG00000172260,2
ENSG00000173267,2
ENSG00000175874,2
ENSG00000176014,2
ENSG00000177098,2
ENSG00000177425,2
ENSG00000177432,2
ENSG00000177570,2
ENSG00000182621,2
ENSG00000183317,2
ENSG00000183775,2
ENSG00000184640,2
ENSG00000186479,2
ENSG00000196277,2
ENSG00000196581,2
ENSG00000196972,2
ENSG00000197147,2
ENSG00000198216,2
ENSG00000198673,2
ENSG00000198963,2
ENSG00000204071,2
ENSG00000243232,2
ENSG00000260230,2
ENSG00000275482,2
ENSG00000001460,1
ENSG00000001461,1
ENSG00000002586,1
ENSG00000003147,1
ENSG00000004142,1
ENSG00000004660,1
ENSG00000004700,1
ENSG00000004864,1
ENSG00000005059,1
ENSG00000005075,1
ENSG00000005189,1
ENSG00000005379,1
ENSG00000005810,1
ENSG00000006071,1
ENSG00000006116,1
ENSG00000006327,1
ENSG00000006468,1
ENSG00000006534,1
ENSG00000006756,1
ENSG00000007516,1
ENSG00000007968,1
ENSG00000008086,1
ENSG00000008118,1
ENSG00000008277,1
ENSG00000008282,1
ENSG00000008311,1
ENSG00000008853,1
ENSG00000010278,1
ENSG00000010292,1
ENSG00000010810,1
ENSG00000011028,1
ENSG00000011083,1
ENSG00000011304,1
ENSG00000011347,1
ENSG00000011426,1
ENSG00000012124,1
ENSG00000013016,1
ENSG00000013364,1
ENSG00000013810,1
ENSG00000014641,1
ENSG00000014919,1
ENSG00000018408,1
ENSG00000019505,1
ENSG00000020129,1
ENSG00000022267,1
ENSG00000022355,1
ENSG00000022567,1
ENSG00000023171,1
ENSG00000023228,1
ENSG00000023445,1
ENSG00000023516,1
ENSG00000024862,1
ENSG00000026025,1
ENSG00000026559,1
ENSG00000026950,1
ENSG00000027697,1
ENSG00000028277,1
ENSG00000031081,1
ENSG00000036530,1
ENSG00000037897,1
ENSG00000038295,1
ENSG00000038427,1
ENSG00000038945,1
ENSG00000039560,1
ENSG00000040341,1
ENSG00000046653,1
ENSG00000046889,1
ENSG00000047056,1
ENSG00000047579,1
ENSG00000047597,1
ENSG00000047849,1
ENSG00000048991,1
ENSG00000049239,1
ENSG00000049246,1
ENSG00000049541,1
ENSG00000050405,1
ENSG00000050748,1
ENSG00000051128,1
ENSG00000053524,1
ENSG00000053900,1
ENSG00000054277,1
ENSG00000054392,1
ENSG00000054654,1
ENSG00000054967,1
ENSG00000056487,1
ENSG00000058091,1
ENSG00000058262,1
ENSG00000058335,1
ENSG00000059691,1
ENSG00000061918,1
ENSG00000062524,1
ENSG00000063245,1
ENSG00000063854,1
ENSG00000064102,1
ENSG00000064300,1
ENSG00000064393,1
ENSG00000065154,1
ENSG00000065308,1
ENSG00000065320,1
ENSG00000065328,1
ENSG00000065361,1
ENSG00000065559,1
ENSG00000065609,1
ENSG00000065621,1
ENSG00000065809,1
ENSG00000066279,1
ENSG00000066322,1
ENSG00000066468,1
ENSG00000066827,1
ENSG00000067191,1
ENSG00000067606,1
ENSG00000067715,1
ENSG00000067840,1
ENSG00000067955,1
ENSG00000068366,1
ENSG00000068400,1
ENSG00000068489,1
ENSG00000068831,1
ENSG00000069275,1
ENSG00000069424,1
ENSG00000069493,1
ENSG00000069966,1
ENSG00000070214,1
ENSG00000070729,1
ENSG00000070831,1
ENSG00000070961,1
ENSG00000071539,1
ENSG00000072071,1
ENSG00000072110,1
ENSG00000072133,1
ENSG00000072182,1
ENSG00000072201,1
ENSG00000072315,1
ENSG00000072506,1
ENSG00000072657,1
ENSG00000072694,1
ENSG00000072786,1
ENSG00000072864,1
ENSG00000073060,1
ENSG00000073111,1
ENSG00000073150,1
ENSG00000073737,1
ENSG00000073792,1
ENSG00000073921,1
ENSG00000074211,1
ENSG00000074410,1
ENSG00000074527,1
ENSG00000074590,1
ENSG00000075188,1
ENSG00000075218,1
ENSG00000075461,1
ENSG00000075618,1
ENSG00000075702,1
ENSG00000076604,1
ENSG00000076706,1
ENSG00000076770,1
ENSG00000077264,1
ENSG00000077522,1
ENSG00000078725,1
ENSG00000079308,1
ENSG00000079841,1
ENSG00000080503,1
ENSG00000080709,1
ENSG00000080822,1
ENSG00000080839,1
ENSG00000081189,1
ENSG00000081320,1
ENSG00000083642,1
ENSG00000083720,1
ENSG00000084444,1
ENSG00000084453,1
ENSG00000084731,1
ENSG00000085433,1
ENSG00000085832,1
ENSG00000086015,1
ENSG00000086061,1
ENSG00000086062,1
ENSG00000086205,1
ENSG00000087095,1
ENSG00000087245,1
ENSG00000087253,1
ENSG00000088179,1
ENSG00000088325,1
ENSG00000088367,1
ENSG00000088538,1
ENSG00000088882,1
ENSG00000088899,1
ENSG00000089127,1
ENSG00000089157,1
ENSG00000089159,1
ENSG00000089199,1
ENSG00000089289,1
ENSG00000089847,1
ENSG00000090238,1
ENSG00000090539,1
ENSG00000090776,1
ENSG00000090932,1
ENSG00000090975,1
ENSG00000091483,1
ENSG00000091513,1
ENSG00000091536,1
ENSG00000091622,1
ENSG00000091656,1
ENSG00000091972,1
ENSG00000091986,1
ENSG00000092096,1
ENSG00000092421,1
ENSG00000092607,1
ENSG00000092929,1
ENSG00000093009,1
ENSG00000093072,1
ENSG00000095015,1
ENSG00000095319,1
ENSG00000095739,1
ENSG00000096060,1
ENSG00000096063,1
ENSG00000096080,1
ENSG00000096092,1
ENSG00000096654,1
ENSG00000096872,1
ENSG00000097007,1
ENSG00000099139,1
ENSG00000099194,1
ENSG00000099203,1
ENSG00000099331,1
ENSG00000099364,1
ENSG00000099365,1
ENSG00000099814,1
ENSG00000100060,1
ENSG00000100075,1
ENSG00000100077,1
ENSG00000100106,1
ENSG00000100139,1
ENSG00000100285,1
ENSG00000100297,1
ENSG00000100321,1
ENSG00000100336,1
ENSG00000100346,1
ENSG00000100441,1
ENSG00000100479,1
ENSG00000100591,1
ENSG00000100744,1
ENSG00000100842,1
ENSG00000100985,1
ENSG00000101003,1
ENSG00000101104,1
ENSG00000101115,1
ENSG00000101198,1
ENSG00000101203,1
ENSG00000101265,1
ENSG00000101298,1
ENSG00000101311,1
ENSG00000101346,1
ENSG00000101384,1
